adm0_name,adm1_name,adm2_name,adm3_name,latitude,longitude,name_alt,population,area_km2,pop_density_km2
CHN,Fujian,Nanping,Guangze,27.653188678645762,117.34309071669048,,,2894.6515758768755,
CHN,Fujian,Nanping,Jian'ou,27.041936464546797,118.4736555159696,,,5255.987347247762,
CHN,Fujian,Nanping,Jianyang,27.40446419342017,118.05537080003533,,,4329.240418446958,
CHN,Fujian,Nanping,Nanping,26.586197784102957,118.24198196751819,,,3312.5699565306477,
CHN,Fujian,Nanping,Pucheng,27.941988012166156,118.5111115763343,,,4345.725749856464,
CHN,Fujian,Nanping,Shaowu,27.23263161702852,117.46870249772763,,,3562.2375987691,
CHN,Fujian,Nanping,Shunchang,26.90646432310713,117.86456362387361,,,2484.1817310462657,
CHN,Fujian,Nanping,Songxi,27.610482464161404,118.75403939336186,,,1332.388438303753,
CHN,Fujian,Nanping,Zhenghe,27.324230952861832,118.95883251017047,,,2220.7983393236136,
CHN,Fujian,Ningde,Fu'an,27.052554963494764,119.64627974818374,,,2303.0029543220485,
CHN,Fujian,Ningde,Fuding,27.220781227567738,120.18893218477659,,,1877.0785101843135,
CHN,Fujian,Ningde,Gutian,26.614400532611004,118.8667261906848,,,2968.9470823031666,
CHN,Fujian,Ningde,Jiaocheng,26.755033846978407,119.45023995475454,,,1794.4136850803393,
CHN,Fujian,Ningde,Pingnan,26.91879800172909,118.97841280552092,,,1875.3708217977733,
CHN,Fujian,Ningde,Shouning,27.426129828959084,119.49445999684391,,,1817.1018764951334,
CHN,Fujian,Ningde,Xiapu,26.859888667232184,119.97979035345084,,,1965.0873170972989,
CHN,Fujian,Ningde,Zherong,27.203742755835865,119.87908936958311,,,697.1935892227664,
CHN,Fujian,Ningde,Zhouning,27.090925364106038,119.30393365445042,,,1322.8759806558205,
CHN,Fujian,Putian,Putian,25.449070807590747,119.05257762935403,,,176.95196315833465,
CHN,Fujian,Putian,Putian County,25.438985424610152,119.06521542230436,,,2350.220355708753,
CHN,Fujian,Putian,Xianyou,25.465197129163123,118.69405776144646,,,2249.829560064822,
CHN,Fujian,Quanzhou,Anxi,25.120714998095377,117.90016684718682,,,3547.4971881362244,
CHN,Fujian,Quanzhou,Dehua,25.668795800550825,118.24549848358339,,,2759.5141886233987,
CHN,Fujian,Quanzhou,Hui'an,25.037436979637793,118.81021865155373,,,1191.9779773850369,
CHN,Fujian,Quanzhou,Jinjiang,24.7299150563098,118.54998882458602,,,803.4873402131017,
CHN,Fujian,Quanzhou,Nan'an,25.014686019815645,118.37645570767312,,,2385.9350417576243,
CHN,Fujian,Quanzhou,Sanyuan,25.07664499671255,118.61490604822258,,,660.9209250480191,
CHN,Fujian,Quanzhou,Shishi,24.739709619684223,118.68084587349678,,,196.99006828358154,
CHN,Fujian,Quanzhou,Yongchun,25.388472254808104,118.12847375707514,,,1782.3533624724573,
CHN,Fujian,Sanming,Datian,25.790183616688534,117.80591462459142,,,2709.6899581985817,
CHN,Fujian,Sanming,Jiangle,26.72935919126465,117.38900050084969,,,2826.841987014862,
CHN,Fujian,Sanming,Jianning,26.817357322971795,116.77877561218634,,,2173.3084970827385,
CHN,Fujian,Sanming,Mingxi,26.4162113306485,117.20400690284167,,,2143.743574939494,
CHN,Fujian,Sanming,Ninghua,26.30440089709978,116.66346474706616,,,2922.7842309513885,
CHN,Fujian,Sanming,Qingliu,26.098708332287003,116.91000228793686,,,2260.0489492272227,
CHN,Fujian,Sanming,Sha,26.440535433095498,117.80619906078246,,,2284.702401436795,
CHN,Fujian,Sanming,Shanming,26.220394529464592,117.55134290616623,,,1409.3455157321912,
