date,adm0_name,adm1_id,adm1_name,adm2_id,adm2_name,lat,lon,cum_confirmed_cases,cum_confirmed_cases_imputed,population,travel_ban_intl_out,business_closure,no_gathering,school_closure,social_distance,transit_suspension,travel_ban_local,work_from_home,testing_regime,home_isolation,pos_cases_quarantine,travel_ban_intl_in,business_closure_popwt,no_gathering_popwt,school_closure_popwt,social_distance_popwt,transit_suspension_popwt,travel_ban_local_popwt,work_from_home_popwt,home_isolation_popwt,pos_cases_quarantine_popwt,social_distance_opt,social_distance_opt_popwt,work_from_home_opt,work_from_home_opt_popwt,policies_enacted,no_gathering_size
2020-02-24,ITA,9,Toscana,49,Livorno,43.55234873,10.3086781,0.0,0,334832.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,3,Lombardia,98,Lodi,45.31440693,9.503720769,0.0,0,230198.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.10982502020000173,0.21965004040000347,0.21965004040000347,0.21965004040000347,0.21965004040000347,0.10982502020000173,0.21965004040000347,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0
2020-02-24,ITA,9,Toscana,46,Lucca,43.84432283,10.50151366,0.0,0,387876.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,11,Marche,43,Macerata,43.30023926,13.45307182,0.0,0,314178.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,3,Lombardia,20,Mantova,45.15726772,10.79277363,0.0,0,412292.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,9,Toscana,45,Massa Carrara,44.03674425,10.14173829,0.0,0,194878.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,17,Basilicata,77,Matera,40.66751177,16.59792442,0.0,0,197909.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,19,Sicilia,83,Messina,38.19395845,15.55572302,0.0,0,626876.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,3,Lombardia,15,Milano,45.46679409,9.190347404,0.0,0,3250315.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,8,Emilia Romagna,36,Modena,44.64600009,10.92615487,0.0,0,705393.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,3,Lombardia,108,Monza e della Brianza,45.58439043,9.273582472000001,0.0,0,873935.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,15,Campania,63,Napoli,40.83956555,14.25084984,0.0,0,3084890.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,1,Piemonte,3,Novara,45.44588506,8.621915884,0.0,0,369018.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,20,Sardegna,91,Nuoro,40.32318834,9.330296393,0.0,0,208550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,20,Sardegna,95,Oristano,39.90381075,8.591183151000001,0.0,0,157707.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,5,Veneto,28,Padova,45.40692987,11.87608718,0.0,0,937908.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.001761366786507845,0.00352273357301569,0.00352273357301569,0.00352273357301569,0.00352273357301569,0.001761366786507845,0.00352273357301569,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0
2020-02-24,ITA,19,Sicilia,82,Palermo,38.11569725,13.362356699999998,0.0,0,1252588.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,8,Emilia Romagna,34,Parma,44.80107394,10.32834985,0.0,0,451631.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,3,Lombardia,18,Pavia,45.18509264,9.160157191,0.0,0,545888.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
2020-02-24,ITA,10,Umbria,54,Perugia,43.10675841,12.38824698,0.0,0,656382.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
