date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_regime_13mar2020,sample_avg,day_avg,p_1,p_2
"2020-03-04","IRN","Markazi",1,1,1,1,1,0,0,0,75,230,1429475,04mar2020,3,3,2020,4,"Markazi",0,4.317488,,0,.1647312,,1,0
"2020-03-05","IRN","Markazi",1,1,1,1,1,0,0,0,106,261,1429475,05mar2020,4,3,2020,5,"Markazi",0,4.663439,.3459511,0,,,1,0
"2020-03-06","IRN","Markazi",1,1,1,1,1,0,0,0,154,309,1429475,06mar2020,5,3,2020,6,"Markazi",0,5.036952,.3735132,0,,,1,0
"2020-03-07","IRN","Markazi",1,1,1,1,1,0,0,0,191,346,1429475,07mar2020,6,3,2020,7,"Markazi",0,5.252274,.2153211,0,,,1,0
"2020-03-08","IRN","Markazi",1,1,1,1,1,0,0,0,261,416,1429475,08mar2020,0,3,2020,8,"Markazi",0,5.56452,.3122468,0,,,1,0
"2020-03-09","IRN","Markazi",1,1,1,1,1,0,0,0,315,470,1429475,09mar2020,1,3,2020,9,"Markazi",0,5.752573,.1880522,0,,,1,0
"2020-03-10","IRN","Markazi",1,1,1,1,1,0,0,0,342,497,1429475,10mar2020,2,3,2020,10,"Markazi",0,5.834811,.0822382,0,,,1,0
"2020-03-11","IRN","Markazi",1,1,1,1,1,0,0,0,373,528,1429475,11mar2020,3,3,2020,11,"Markazi",0,5.921578,.0867677,0,,,1,0
"2020-03-12","IRN","Markazi",1,1,1,1,1,0,0,0,461,616,1429475,12mar2020,4,3,2020,12,"Markazi",0,6.133398,.2118196,0,,,1,0
"2020-03-13","IRN","Markazi",1,1,1,1,1,1,1,0,509,664,1429475,13mar2020,5,3,2020,13,"Markazi",0,6.232448,.09905,1,,,1,1
"2020-03-14","IRN","Markazi",1,1,1,1,1,1,1,0,624,779,1429475,14mar2020,6,3,2020,14,"Markazi",0,6.436151,.2037024,0,,,1,1
"2020-03-15","IRN","Markazi",1,1,1,1,1,1,1,0,624,779,1429475,15mar2020,0,3,2020,15,"Markazi",0,6.436151,0,0,,,1,1
"2020-03-16","IRN","Markazi",1,1,1,1,1,1,1,0,638,793,1429475,16mar2020,1,3,2020,16,"Markazi",0,6.458338,.0221877,0,,,1,1
"2020-03-17","IRN","Markazi",1,1,1,1,1,1,1,0,685,840,1429475,17mar2020,2,3,2020,17,"Markazi",0,6.529419,.0710807,0,,,1,1
"2020-03-18","IRN","Markazi",1,1,1,1,1,1,1,0,708,863,1429475,18mar2020,3,3,2020,18,"Markazi",0,6.562444,.0330253,0,,,1,1
"2020-03-19","IRN","Markazi",1,1,1,1,1,1,1,0,755,910,1429475,19mar2020,4,3,2020,19,"Markazi",0,6.626718,.0642734,0,,,1,1
"2020-03-20","IRN","Markazi",1,1,1,1,1,1,1,0,772,927,1429475,20mar2020,5,3,2020,20,"Markazi",0,6.648984,.0222669,0,,,1,1
"2020-03-21","IRN","Markazi",1,1,1,1,1,1,1,0,772,927,1429475,21mar2020,6,3,2020,21,"Markazi",0,6.648984,0,0,,,1,1
"2020-03-22","IRN","Markazi",1,1,1,1,1,1,1,0,808,963,1429475,22mar2020,0,3,2020,22,"Markazi",0,6.694562,.0455775,0,,,1,1
"2020-02-27","IRN","Mazandaran",1,0,1,1,0,0,0,0,11,11,3283582,27feb2020,4,2,2020,27,"Mazandaran",0,2.397895,,0,.1647312,,.3333333,0
"2020-02-28","IRN","Mazandaran",1,0,1,1,0,0,0,0,20,20,3283582,28feb2020,5,2,2020,28,"Mazandaran",0,2.995732,.597837,0,,,.3333333,0
"2020-02-29","IRN","Mazandaran",1,0,1,1,0,0,0,0,32,32,3283582,29feb2020,6,2,2020,29,"Mazandaran",0,3.465736,.4700036,0,,,.3333333,0
"2020-03-01","IRN","Mazandaran",1,1,1,1,0,0,0,0,43,43,3283582,01mar2020,0,3,2020,1,"Mazandaran",0,3.7612,.2954643,0,,,.6666667,0
"2020-03-02","IRN","Mazandaran",1,1,1,1,0,0,0,0,,58,3283582,02mar2020,1,3,2020,2,"Mazandaran",0,,,0,.1647312,,.6666667,0
"2020-03-03","IRN","Mazandaran",1,1,1,1,1,0,0,0,,82,3283582,03mar2020,2,3,2020,3,"Mazandaran",0,,,0,.1647312,,1,0
"2020-03-04","IRN","Mazandaran",1,1,1,1,1,0,0,0,52,91,3283582,04mar2020,3,3,2020,4,"Mazandaran",0,3.951244,,0,.1647312,,1,0
"2020-03-05","IRN","Mazandaran",1,1,1,1,1,0,0,0,102,141,3283582,05mar2020,4,3,2020,5,"Mazandaran",0,4.624973,.6737292,0,,,1,0
"2020-03-06","IRN","Mazandaran",1,1,1,1,1,0,0,0,282,321,3283582,06mar2020,5,3,2020,6,"Mazandaran",0,5.641907,1.016934,0,,,1,0
"2020-03-07","IRN","Mazandaran",1,1,1,1,1,0,0,0,587,626,3283582,07mar2020,6,3,2020,7,"Mazandaran",0,6.375025,.7331176,0,,,1,0
"2020-03-08","IRN","Mazandaran",1,1,1,1,1,0,0,0,601,640,3283582,08mar2020,0,3,2020,8,"Mazandaran",0,6.398595,.0235701,0,,,1,0
"2020-03-09","IRN","Mazandaran",1,1,1,1,1,0,0,0,614,653,3283582,09mar2020,1,3,2020,9,"Mazandaran",0,6.419995,.0214,0,,,1,0
"2020-03-10","IRN","Mazandaran",1,1,1,1,1,0,0,0,867,906,3283582,10mar2020,2,3,2020,10,"Mazandaran",0,6.765039,.3450441,0,,,1,0
"2020-03-11","IRN","Mazandaran",1,1,1,1,1,0,0,0,899,938,3283582,11mar2020,3,3,2020,11,"Mazandaran",0,6.801283,.0362439,0,,,1,0
"2020-03-12","IRN","Mazandaran",1,1,1,1,1,0,0,0,978,1017,3283582,12mar2020,4,3,2020,12,"Mazandaran",0,6.885509,.0842266,0,,,1,0
"2020-03-13","IRN","Mazandaran",1,1,1,1,1,1,1,0,1170,1209,3283582,13mar2020,5,3,2020,13,"Mazandaran",0,7.064759,.1792498,1,,,1,1
"2020-03-14","IRN","Mazandaran",1,1,1,1,1,1,1,0,1187,1226,3283582,14mar2020,6,3,2020,14,"Mazandaran",0,7.079185,.0144253,0,,,1,1
"2020-03-15","IRN","Mazandaran",1,1,1,1,1,1,1,0,1259,1298,3283582,15mar2020,0,3,2020,15,"Mazandaran",0,7.138073,.0588884,0,,,1,1
"2020-03-16","IRN","Mazandaran",1,1,1,1,1,1,1,0,1355,1394,3283582,16mar2020,1,3,2020,16,"Mazandaran",0,7.211557,.0734839,0,,,1,1
"2020-03-17","IRN","Mazandaran",1,1,1,1,1,1,1,0,1414,1453,3283582,17mar2020,2,3,2020,17,"Mazandaran",0,7.254178,.0426211,0,,,1,1
"2020-03-18","IRN","Mazandaran",1,1,1,1,1,1,1,0,1475,1514,3283582,18mar2020,3,3,2020,18,"Mazandaran",0,7.296413,.0422354,0,,,1,1
"2020-03-19","IRN","Mazandaran",1,1,1,1,1,1,1,0,1533,1572,3283582,19mar2020,4,3,2020,19,"Mazandaran",0,7.334982,.0385685,0,,,1,1
"2020-03-20","IRN","Mazandaran",1,1,1,1,1,1,1,0,1617,1656,3283582,20mar2020,5,3,2020,20,"Mazandaran",0,7.388328,.0533462,0,,,1,1
