date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population
2020-02-24,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0,1163400.0
2020-02-24,IRN,Chahar Mahall and Bakhtiari,0,0,1,1,0,0,0,0,0.0,0,947763.0
2020-02-24,IRN,East Azarbaijan,0,0,1,1,0,0,0,0,0.0,0,3909652.0
2020-02-24,IRN,Esfahan,0,0,1,1,0,0,0,0,2.0,2,5120850.0
2020-02-24,IRN,Fars,0,0,1,1,0,0,0,0,0.0,0,4851274.0
2020-02-24,IRN,Gilan,1,0,1,1,0,0,0,0,6.0,6,2530696.0
2020-02-24,IRN,Golestan,1,0,1,1,0,0,0,0,0.0,0,1868819.0
2020-02-24,IRN,Hamadan,1,0,1,1,0,0,0,0,1.0,1,1738234.0
2020-02-24,IRN,Hormozgan,0,0,1,1,0,0,0,0,0.0,0,1776415.0
2020-02-24,IRN,Ilam,0,0,1,1,0,0,0,0,0.0,0,580158.0
2020-02-24,IRN,Kerman,0,0,1,1,0,0,0,0,0.0,0,3164718.0
2020-02-24,IRN,Kermanshah,1,0,1,1,0,0,0,0,0.0,0,1952434.0
2020-02-24,IRN,Khuzestan,0,0,1,1,0,0,0,0,0.0,0,4710509.0
2020-02-24,IRN,Kohgiluyeh and Buyer Ahmad,0,0,1,1,0,0,0,0,0.0,0,713052.0
2020-02-24,IRN,Kordestan,1,0,1,1,0,0,0,0,0.0,0,1603011.0
2020-02-24,IRN,Lorestan,0,0,1,1,0,0,0,0,0.0,0,1760649.0
2020-02-24,IRN,Markazi,1,0,1,1,0,0,0,0,4.0,4,1429475.0
2020-02-24,IRN,Mazandaran,1,0,1,1,0,0,0,0,1.0,1,3283582.0
2020-02-24,IRN,North Khorasan,0,0,1,1,0,0,0,0,0.0,0,863092.0
2020-02-24,IRN,Qazvin,1,0,1,1,0,0,0,0,0.0,0,1273761.0
2020-02-24,IRN,Qom,1,1,1,1,0,0,0,0,34.0,34,1292283.0
2020-02-24,IRN,Razavi Khorasan,0,0,1,1,0,0,0,0,0.0,0,6434501.0
2020-02-24,IRN,Semnan,1,0,1,1,0,0,0,0,0.0,0,702360.0
2020-02-24,IRN,Sistan and Baluchestan,0,0,1,1,0,0,0,0,0.0,0,2775014.0
2020-02-24,IRN,South Khorasan,0,0,1,1,0,0,0,0,0.0,0,768898.0
2020-02-24,IRN,Tehran,1,0,1,1,0,0,0,0,13.0,13,13267637.0
2020-02-24,IRN,West Azarbaijan,0,0,1,1,0,0,0,0,0.0,0,3265219.0
2020-02-24,IRN,Yazd,0,0,1,1,0,0,0,0,0.0,0,1138533.0
2020-02-24,IRN,Zanjan,1,0,1,1,0,0,0,0,0.0,0,1057461.0
