t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
24mar2020,.1307897,.0492908,.2122886,.3333336,.2519472,.41472,,,
25mar2020,.1381949,.056696,.2196938,.3407388,.2593524,.4221252,,,
26mar2020,.1531067,.0716078,.2346056,.3556506,.2742642,.437037,,,
27mar2020,.1469198,.0654209,.2284187,.3494637,.2680773,.4308501,,,
28mar2020,.1339458,.0524469,.2154447,.3364897,.2551033,.4178761,,,
29mar2020,.1674374,.0859385,.2489364,.3699813,.288595,.4513677,,,
30mar2020,.1253366,.0438377,.2068355,.3278805,.2464941,.4092669,,,
31mar2020,.1307897,.0492908,.2122886,.3333336,.2519472,.41472,,,
01apr2020,.1381949,.056696,.2196938,.3407388,.2593524,.4221252,,,
02apr2020,.1531067,.0716078,.2346056,.3556506,.2742642,.437037,,,
03apr2020,.1469198,.0654209,.2284187,.3494637,.2680773,.4308501,,,
04apr2020,.1339458,.0524469,.2154447,.3364897,.2551033,.4178761,,,
05apr2020,.1674374,.0859385,.2489364,.3699813,.288595,.4513677,,,
06apr2020,.1253366,.0438377,.2068355,.3278805,.2464941,.4092669,,,
27feb2020,.3541075,.2727211,.4354939,.3541075,.2727211,.4354939,,,
28feb2020,.3479206,.2665342,.429307,.3479206,.2665342,.429307,,,
29feb2020,.3349466,.2535602,.416333,.3349466,.2535602,.416333,,,
01mar2020,.3091486,.2254489,.3928483,.3684383,.2870519,.4498247,,,
02mar2020,.2670478,.183348,.3507475,.3263374,.244951,.4077238,,,
03mar2020,.2725009,.1888011,.3562006,.3317905,.2504041,.4131769,,,
04mar2020,.2799061,.1962063,.3636058,.3391957,.2578093,.4205821,,,
05mar2020,.2948179,.2111182,.3785176,.3541075,.2727211,.4354939,,,
06mar2020,.288631,.2049312,.3723307,.3479206,.2665342,.429307,,,
07mar2020,.275657,.1919572,.3593567,.3349466,.2535602,.416333,,,
08mar2020,.2056552,.1242161,.2870944,.3684383,.2870519,.4498247,,,
09mar2020,.1635544,.0821152,.2449936,.3263374,.244951,.4077238,,,
12mar2020,.164771,.0913329,.2382092,.3541075,.2727211,.4354939,,,
13mar2020,.1585841,.085146,.2320222,.3479206,.2665342,.429307,,,
14mar2020,.1456101,.072172,.2190482,.3349466,.2535602,.416333,,,
15mar2020,.1791018,.1056637,.2525399,.3684383,.2870519,.4498247,,,
16mar2020,.1370009,.0635628,.210439,.3263374,.244951,.4077238,,,
17mar2020,.142454,.0690159,.2158921,.3317905,.2504041,.4131769,,,
18mar2020,.1498592,.0764211,.2232973,.3391957,.2578093,.4205821,,,
19mar2020,.164771,.0913329,.2382092,.3541075,.2727211,.4354939,,,
20mar2020,.1585841,.085146,.2320222,.3479206,.2665342,.429307,,,
21mar2020,.1456101,.072172,.2190482,.3349466,.2535602,.416333,,,
22mar2020,.0795943,0,.1595141,.3684383,.2870519,.4498247,,,
23mar2020,.0374934,0,.1174132,.3263374,.244951,.4077238,,,
24mar2020,.0429465,0,.1228663,.3317905,.2504041,.4131769,,,
25mar2020,.0503517,0,.1302715,.3391957,.2578093,.4205821,,,
26mar2020,.0652635,0,.1451833,.3541075,.2727211,.4354939,,,
27mar2020,.0590766,0,.1389964,.3479206,.2665342,.429307,,,
28mar2020,.0461026,0,.1260224,.3349466,.2535602,.416333,,,
29mar2020,.0795943,0,.1595141,.3684383,.2870519,.4498247,,,
30mar2020,.0374934,0,.1174132,.3263374,.244951,.4077238,,,
31mar2020,.0429465,0,.1228663,.3317905,.2504041,.4131769,,,
01apr2020,.0503517,0,.1302715,.3391957,.2578093,.4205821,,,
02apr2020,.0652635,0,.1451833,.3541075,.2727211,.4354939,,,
03apr2020,.0590766,0,.1389964,.3479206,.2665342,.429307,,,
04apr2020,.0461026,0,.1260224,.3349466,.2535602,.416333,,,
05apr2020,.0795943,0,.1595141,.3684383,.2870519,.4498247,,,
06apr2020,.0374934,0,.1174132,.3263374,.244951,.4077238,,,
10mar2020,.2064511,.1172482,.295654,.2632737,.1818873,.3446601,,,
11mar2020,.1873029,.1032435,.2713622,.2706789,.1892926,.3520653,,,
