t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
12mar2020,,.2941845,.2443945,.3439746,,.3320433,.2649929,.3990937
13mar2020,,.255191,.187508,.3228741,,.319338,.2522876,.3863884
14mar2020,,.2786642,.2555856,.3017428,,.2984912,.2314408,.3655417
15mar2020,,.2409006,.217822,.2639792,,.2607276,.1936772,.327778
16mar2020,,.2670843,.2440056,.2901629,,.2869113,.2198609,.3539617
17mar2020,,.2783432,.2552645,.3014218,,.2981702,.2311198,.3652206
18mar2020,,.26619,.2363435,.2960364,,.3123052,.2452548,.3793556
19mar2020,,.2667128,.2334398,.2999858,,.3320433,.2649929,.3990937
20mar2020,,.2423552,.2119717,.2727388,,.319338,.2522876,.3863884
21mar2020,,.2215085,.191125,.251892,,.2984912,.2314408,.3655417
22mar2020,,.1986855,.1593876,.2379833,,.2607276,.1936772,.327778
23mar2020,,.2436583,.2101481,.2771686,,.2869113,.2198609,.3539617
24mar2020,,.2549172,.2214069,.2884275,,.2981702,.2311198,.3652206
25mar2020,,.2690522,.2355419,.3025625,,.3123052,.2452548,.3793556
26mar2020,,.1889328,.1582719,.2195937,,.3320433,.2649929,.3990937
27mar2020,,.1645752,.1347925,.1943579,,.319338,.2522876,.3863884
28mar2020,,.1437285,.1139458,.1735112,,.2984912,.2314408,.3655417
29mar2020,,.1059649,.0761822,.1357476,,.2607276,.1936772,.327778
30mar2020,,.1321486,.1023659,.1619313,,.2869113,.2198609,.3539617
31mar2020,,.1434074,.1136248,.1731902,,.2981702,.2311198,.3652206
01apr2020,,.1575425,.1277597,.1873251,,.3123052,.2452548,.3793556
02apr2020,,.1772805,.1474978,.2070632,,.3320433,.2649929,.3990937
03apr2020,,.152923,.1220149,.183831,,.319338,.2522876,.3863884
04apr2020,,.1320762,.1011682,.1629843,,.2984912,.2314408,.3655417
05apr2020,,.0943126,.0634046,.1252207,,.2607276,.1936772,.327778
06apr2020,,.1204963,.0895883,.1514044,,.2869113,.2198609,.3539617
15mar2020,,.3383537,.2973388,.3793685,,.3459831,.2789327,.4130335
16mar2020,,.3184037,.2796549,.3571525,,.3721668,.3051164,.4392172
17mar2020,,.3672409,.3421964,.3922855,,.3834257,.3163753,.4504761
18mar2020,,.3813759,.3563314,.4064205,,.3975607,.3305103,.4646111
19mar2020,,.4821676,.4233028,.5410325,,.5041785,.4123938,.5959633
20mar2020,,.3825826,.358538,.4066272,,.4045935,.3375431,.4716439
21mar2020,,.3617359,.3376912,.3857805,,.3837468,.3166963,.4507972
22mar2020,,.3239723,.2999277,.3480169,,.3459831,.2789327,.4130335
23mar2020,,.2022333,.1339348,.2705318,,.3721668,.3051164,.4392172
24mar2020,,.2134922,.1451937,.2817907,,.3834257,.3163753,.4504761
25mar2020,,.2350975,.1652069,.3049881,,.3975607,.3305103,.4646111
26mar2020,,.2316592,.1626393,.3006791,,.4172988,.3502484,.4843492
27mar2020,,.2189539,.149934,.2879739,,.4045935,.3375431,.4716439
28mar2020,,.1981072,.1290873,.2671271,,.3837468,.3166963,.4507972
29mar2020,,.1545175,.0861081,.2229269,,.3459831,.2789327,.4130335
30mar2020,,.174875,.1068582,.2428918,,.3721668,.3051164,.4392172
31mar2020,,.1861339,.1181171,.2541507,,.3834257,.3163753,.4504761
01apr2020,,.1944428,.1265968,.2622887,,.3975607,.3305103,.4646111
02apr2020,,.2083547,.1404562,.2762533,,.4172988,.3502484,.4843492
03apr2020,,.1956494,.1277509,.263548,,.4045935,.3375431,.4716439
04apr2020,,.1748027,.1069041,.2427012,,.3837468,.3166963,.4507972
05apr2020,,.1370391,.0691405,.2049376,,.3459831,.2789327,.4130335
06apr2020,,.1632228,.0953242,.2311213,,.3721668,.3051164,.4392172
18mar2020,,.2894836,.2533533,.325614,,.3106935,.2436431,.3777439
19mar2020,,.3092217,.2730914,.3453521,,.3304316,.2633812,.397482
20mar2020,,.2965164,.2603861,.3326468,,.3177263,.2506759,.3847767
21mar2020,,.2611044,.2298488,.29236,,.2968796,.2298291,.36393
22mar2020,,.2233408,.1920852,.2545964,,.2591159,.1920655,.3261663
23mar2020,,.2495245,.2182688,.28078,,.2852996,.2182492,.35235
24mar2020,,.162534,.1302599,.1948081,,.2965585,.2295081,.3636089
25mar2020,,.176669,.1443949,.2089431,,.3106935,.2436431,.3777439
26mar2020,,.1964071,.164133,.2286812,,.3304316,.2633812,.397482
27mar2020,,.1837018,.1514277,.2159759,,.3177263,.2506759,.3847767
28mar2020,,.162855,.130581,.1951291,,.2968796,.2298291,.36393
29mar2020,,.1169483,.0901449,.1437517,,.2591159,.1920655,.3261663
30mar2020,,.1292119,.0621632,.1962606,,.2713796,.1787094,.3640497
31mar2020,,.1543909,.1275875,.1811942,,.2965585,.2295081,.3636089
01apr2020,,.1685258,.1417225,.1953292,,.3106935,.2436431,.3777439
02apr2020,,.1882639,.1614605,.2150673,,.3304316,.2633812,.397482
03apr2020,,.1755586,.1487552,.202362,,.3177263,.2506759,.3847767
04apr2020,,.1547119,.1279085,.1815153,,.2968796,.2298291,.36393
05apr2020,,.102383,.0747235,.1300424,,.2591159,.1920655,.3261663
06apr2020,,.1285667,.1009072,.1562261,,.2852996,.2182492,.35235
12mar2020,,.1823242,.1225258,.2421225,,.2349005,.1678501,.3019509
13mar2020,,.1696188,.1098205,.2294172,,.2221952,.1551448,.2892456
14mar2020,,.2233944,.1792424,.2675463,,.2013485,.1342981,.2683989
15mar2020,,.1593426,.1256761,.193009,,.1635849,.0965345,.2306353
16mar2020,,.1855262,.1518598,.2191927,,.1897686,.1227181,.256819
17mar2020,,.1967851,.1631186,.2304516,,.2010274,.133977,.2680779
18mar2020,,.2109201,.1772536,.2445866,,.2151624,.148112,.2822129
19mar2020,,.2306582,.1969917,.2643247,,.2349005,.1678501,.3019509
20mar2020,,.2179529,.1842864,.2516194,,.2221952,.1551448,.2892456
21mar2020,,.1971062,.1634397,.2307726,,.2013485,.1342981,.2683989
22mar2020,,.1593426,.1256761,.193009,,.1635849,.0965345,.2306353
23mar2020,,.1855262,.1518598,.2191927,,.1897686,.1227181,.256819
24mar2020,,.1967851,.1631186,.2304516,,.2010274,.133977,.2680779
25mar2020,,.2109201,.1772536,.2445866,,.2151624,.148112,.2822129
26mar2020,,.2306582,.1969917,.2643247,,.2349005,.1678501,.3019509
27mar2020,,.2179529,.1842864,.2516194,,.2221952,.1551448,.2892456
28mar2020,,.1971062,.1634397,.2307726,,.2013485,.1342981,.2683989
29mar2020,,.1593426,.1256761,.193009,,.1635849,.0965345,.2306353
30mar2020,,.1855262,.1518598,.2191927,,.1897686,.1227181,.256819
31mar2020,,.1967851,.1631186,.2304516,,.2010274,.133977,.2680779
01apr2020,,.141365,.0989154,.1838146,,.2151624,.148112,.2822129
02apr2020,,.1611031,.1186535,.2035526,,.2349005,.1678501,.3019509
03apr2020,,.1483977,.1059481,.1908473,,.2221952,.1551448,.2892456
04apr2020,,.127551,.0851014,.1700006,,.2013485,.1342981,.2683989
05apr2020,,.0897874,.0473378,.132237,,.1635849,.0965345,.2306353
06apr2020,,.1159711,.0735215,.1584207,,.1897686,.1227181,.256819
10mar2020,,.3179653,.2514086,.3845221,,.3206526,.2536022,.387703
11mar2020,,.2691825,.2215921,.3167729,,.3347876,.2677372,.401838
12mar2020,,.2363442,.1451238,.3275647,,.3545257,.2874753,.4215761
13mar2020,,.2236389,.1324185,.3148593,,.3418204,.2747699,.4088708
14mar2020,,.2774144,.2412199,.3136089,,.3209736,.2539232,.388024
15mar2020,,.2396508,.2034563,.2758453,,.28321,.2161596,.3502604
16mar2020,,.2846237,.2471525,.3220949,,.3093937,.2423433,.3764441
17mar2020,,.2817537,.2523394,.3111681,,.3206526,.2536022,.387703
18mar2020,,.2958887,.2664743,.3253031,,.3347876,.2677372,.401838
19mar2020,,.3138874,.2852355,.3425394,,.3545257,.2874753,.4215761
20mar2020,,.2990444,.2712387,.32685,,.3418204,.2747699,.4088708
