t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
01mar2020,,.0606808,.0066027,.1147588,,.3038717,.1326261,.4751172
02mar2020,,.0276364,0,.0817144,,.2708273,.0995817,.4420728
03mar2020,,.041821,0,.095899,,.2850119,.1137663,.4562574
04mar2020,,.0446476,0,.0987257,,.2878385,.116593,.4590841
05mar2020,,.0399914,0,.0940695,,.2831823,.1119368,.4544278
06mar2020,,.0745803,.0205022,.1286583,,.3177711,.1465256,.4890167
07mar2020,,.0483399,0,.102418,,.2915308,.1202853,.4627764
08mar2020,,.0606808,.0066027,.1147588,,.3038717,.1326261,.4751172
09mar2020,,.0276364,0,.0817144,,.2708273,.0995817,.4420728
10mar2020,,.041821,0,.095899,,.2850119,.1137663,.4562574
11mar2020,,.0195999,0,.0807952,,.2878385,.116593,.4590841
12mar2020,,.0149437,0,.076139,,.2831823,.1119368,.4544278
13mar2020,,.0495325,0,.1107278,,.3177711,.1465256,.4890167
14mar2020,,.0232922,0,.0844875,,.2915308,.1202853,.4627764
15mar2020,,.0356331,0,.0968283,,.3038717,.1326261,.4751172
16mar2020,,.0087096,0,.0678929,,.2708273,.0995817,.4420728
17mar2020,,.0228942,0,.0820775,,.2850119,.1137663,.4562574
18mar2020,,.0257208,0,.0849042,,.2878385,.116593,.4590841
19mar2020,,.0210646,0,.080248,,.2831823,.1119368,.4544278
20mar2020,,.0556535,0,.1148368,,.3177711,.1465256,.4890167
21mar2020,,.0294131,0,.0885965,,.2915308,.1202853,.4627764
22mar2020,,.0137224,0,.0858111,,.2762311,.1131104,.4393517
23mar2020,,.0083185,0,.0672695,,.2708273,.0995817,.4420728
24mar2020,,.0225031,0,.0814541,,.2850119,.1137663,.4562574
25mar2020,,.0253298,0,.0842807,,.2878385,.116593,.4590841
26mar2020,,.0206736,0,.0796245,,.2831823,.1119368,.4544278
27mar2020,,.0204258,0,.0924495,,.2833255,.11449,.452161
28mar2020,,.0286311,0,.0883081,,.2915308,.1202853,.4627764
29mar2020,,.0409719,0,.100649,,.3038717,.1326261,.4751172
30mar2020,,.0079275,0,.0676046,,.2708273,.0995817,.4420728
31mar2020,,.0221121,0,.0817892,,.2850119,.1137663,.4562574
01apr2020,,.0245477,0,.0858754,,.2878385,.116593,.4590841
02apr2020,,.0198915,0,.0812192,,.2831823,.1119368,.4544278
03apr2020,,.0544804,0,.1158081,,.3177711,.1465256,.4890167
04apr2020,,.0282401,0,.0895678,,.2915308,.1202853,.4627764
05apr2020,,.0401899,0,.104021,,.3038717,.1326261,.4751172
06apr2020,,.0071455,0,.0709766,,.2708273,.0995817,.4420728
02mar2020,,.0353628,0,.2720335,,.3212895,.1500439,.492535
03mar2020,,.0495474,0,.2862181,,.3354741,.1642285,.5067196
04mar2020,,.0523741,0,.2890448,,.3383007,.1670552,.5095463
05mar2020,,.0477179,0,.2843886,,.3336445,.162399,.5048901
06mar2020,,.0823067,0,.3189774,,.3682334,.1969878,.5394789
07mar2020,,.0560664,0,.2927371,,.341993,.1707475,.5132385
08mar2020,,.0684072,0,.3050779,,.3543339,.1830883,.5255794
09mar2020,,.0353628,0,.2720335,,.3212895,.1500439,.492535
10mar2020,,.0495474,0,.2862181,,.3354741,.1642285,.5067196
11mar2020,,.0273264,0,.2578073,,.3383007,.1670552,.5095463
12mar2020,,.0226702,0,.2531511,,.3336445,.162399,.5048901
13mar2020,,.057259,0,.28774,,.3682334,.1969878,.5394789
14mar2020,,.0310187,0,.2614996,,.341993,.1707475,.5132385
15mar2020,,.0433595,0,.2738405,,.3543339,.1830883,.5255794
16mar2020,,.016436,0,.2479234,,.3212895,.1500439,.492535
17mar2020,,.0306206,0,.262108,,.3354741,.1642285,.5067196
18mar2020,,.0334473,0,.2649347,,.3383007,.1670552,.5095463
19mar2020,,.0287911,0,.2602785,,.3336445,.162399,.5048901
20mar2020,,.0633799,0,.2948673,,.3682334,.1969878,.5394789
21mar2020,,.0371396,0,.268627,,.341993,.1707475,.5132385
22mar2020,,.0214488,0,.2421185,,.3266933,.1635727,.4898139
23mar2020,,.016045,0,.2463737,,.3212895,.1500439,.492535
24mar2020,,.0302296,0,.2605583,,.3354741,.1642285,.5067196
25mar2020,,.0330563,0,.263385,,.3383007,.1670552,.5095463
26mar2020,,.0284001,0,.2587288,,.3336445,.162399,.5048901
27mar2020,,.0281523,0,.2717794,,.3337877,.1649522,.5026233
28mar2020,,.0363575,0,.2657694,,.341993,.1707475,.5132385
29mar2020,,.0486984,0,.2781103,,.3543339,.1830883,.5255794
30mar2020,,.015654,0,.2450659,,.3212895,.1500439,.492535
31mar2020,,.0298386,0,.2592505,,.3354741,.1642285,.5067196
01apr2020,,.0322742,0,.261014,,.3383007,.1670552,.5095463
02apr2020,,.027618,0,.2563578,,.3336445,.162399,.5048901
03apr2020,,.0622068,0,.2909467,,.3682334,.1969878,.5394789
04apr2020,,.0359665,0,.2647063,,.341993,.1707475,.5132385
05apr2020,,.0479163,0,.276231,,.3543339,.1830883,.5255794
06apr2020,,.0148719,0,.2431866,,.3212895,.1500439,.492535
03mar2020,,.0549654,.0008874,.1090435,,.2981563,.1269108,.4694019
04mar2020,,.0577921,.003714,.1118702,,.300983,.1297374,.4722285
05mar2020,,.0531359,0,.107214,,.2963268,.1250812,.4675723
06mar2020,,.0877247,.0336467,.1418028,,.3309156,.1596701,.5021611
07mar2020,,.0614844,.0074063,.1155625,,.3046753,.1334297,.4759208
08mar2020,,.0738252,.0197472,.1279033,,.3170161,.1457706,.4882617
09mar2020,,.0407808,0,.0948589,,.2839717,.1127262,.4552173
10mar2020,,.0549654,.0008874,.1090435,,.2981563,.1269108,.4694019
11mar2020,,.0327444,0,.0939397,,.300983,.1297374,.4722285
12mar2020,,.0280882,0,.0892835,,.2963268,.1250812,.4675723
13mar2020,,.062677,.0014817,.1238723,,.3309156,.1596701,.5021611
14mar2020,,.0364367,0,.097632,,.3046753,.1334297,.4759208
15mar2020,,.0487775,0,.1099728,,.3170161,.1457706,.4882617
16mar2020,,.021854,0,.0810374,,.2839717,.1127262,.4552173
17mar2020,,.0360386,0,.095222,,.2981563,.1269108,.4694019
18mar2020,,.0388653,0,.0980486,,.300983,.1297374,.4722285
19mar2020,,.0342091,0,.0933924,,.2963268,.1250812,.4675723
20mar2020,,.0687979,.0096146,.1279813,,.3309156,.1596701,.5021611
21mar2020,,.0425576,0,.1017409,,.3046753,.1334297,.4759208
22mar2020,,.0268668,0,.0989556,,.2893755,.1262549,.4524962
23mar2020,,.021463,0,.0804139,,.2839717,.1127262,.4552173
24mar2020,,.0356476,0,.0945985,,.2981563,.1269108,.4694019
25mar2020,,.0384743,0,.0974252,,.300983,.1297374,.4722285
26mar2020,,.0338181,0,.092769,,.2963268,.1250812,.4675723
27mar2020,,.0335703,0,.1055939,,.29647,.1276345,.4653055
28mar2020,,.0417756,0,.1014526,,.3046753,.1334297,.4759208
29mar2020,,.0541164,0,.1137935,,.3170161,.1457706,.4882617
30mar2020,,.021072,0,.080749,,.2839717,.1127262,.4552173
31mar2020,,.0352566,0,.0949337,,.2981563,.1269108,.4694019
01apr2020,,.0376922,0,.0990199,,.300983,.1297374,.4722285
02apr2020,,.033036,0,.0943637,,.2963268,.1250812,.4675723
03apr2020,,.0676249,.0062972,.1289525,,.3309156,.1596701,.5021611
04apr2020,,.0413845,0,.1027122,,.3046753,.1334297,.4759208
05apr2020,,.0533343,0,.1171655,,.3170161,.1457706,.4882617
06apr2020,,.0202899,0,.0841211,,.2839717,.1127262,.4552173
18feb2020,,.2687054,.0974599,.4399509,,.2687054,.0974599,.4399509
19feb2020,,.2715321,.1002865,.4427776,,.2715321,.1002865,.4427776
20feb2020,,.4421456,.3425616,.5417296,,.4421456,.3425616,.5417296
21feb2020,,.3014647,.1302192,.4727103,,.3014647,.1302192,.4727103
22feb2020,,.2752244,.1039788,.4464699,,.2752244,.1039788,.4464699
23feb2020,,.2875652,.1163197,.4588107,,.2875652,.1163197,.4588107
24feb2020,,.2972566,.1048345,.4896786,,.2545208,.0832753,.4257663
25feb2020,,.3114412,.1190191,.5038632,,.2687054,.0974599,.4399509
26feb2020,,.3142678,.1218458,.5066898,,.2715321,.1002865,.4427776
27feb2020,,.3096116,.1171896,.5020337,,.2668759,.0956303,.4381214
28feb2020,,.178187,.016761,.339613,,.3014647,.1302192,.4727103
29feb2020,,.0969032,.038077,.1557294,,.3400941,.1668824,.5133058
01mar2020,,.0443743,0,.0984524,,.2875652,.1163197,.4588107
02mar2020,,.0113299,0,.065408,,.2545208,.0832753,.4257663
03mar2020,,.0255145,0,.0795926,,.2687054,.0974599,.4399509
04mar2020,,.0283412,0,.0824192,,.2715321,.1002865,.4427776
05mar2020,,.023685,0,.077763,,.2668759,.0956303,.4381214
06mar2020,,.0582738,.0041958,.1123519,,.3014647,.1302192,.4727103
07mar2020,,.0320335,0,.0861115,,.2752244,.1039788,.4464699
08mar2020,,.0443743,0,.0984524,,.2875652,.1163197,.4588107
09mar2020,,.0113299,0,.065408,,.2545208,.0832753,.4257663
10mar2020,,.0255145,0,.0795926,,.2687054,.0974599,.4399509
11mar2020,,.0032935,0,.0644887,,.2715321,.1002865,.4427776
12mar2020,,0,0,.0598325,,.2668759,.0956303,.4381214
13mar2020,,.0332261,0,.0944214,,.3014647,.1302192,.4727103
14mar2020,,.0069858,0,.0681811,,.2752244,.1039788,.4464699
