gamma,policy,sample,sigma,S_min,coefficient,coefficient_true,LHS,pop
0.05000,Intercept,62,0.33000,0.99998,0.42041,0.40000,I,100000000
0.05000,Intercept,62,0.50000,0.99997,0.36732,0.40000,I,100000000
0.05000,Intercept,62,inf,0.99995,0.38442,0.40000,I,100000000
0.05000,Intercept,63,0.20000,0.99995,0.42449,0.40000,I,100000000
0.05000,Intercept,63,0.33000,0.99995,0.40499,0.40000,I,100000000
0.05000,Intercept,63,0.50000,0.99995,0.40859,0.40000,I,100000000
0.05000,Intercept,63,inf,0.99992,0.36569,0.40000,I,100000000
0.05000,Intercept,64,0.20000,0.99999,0.35346,0.40000,I,100000000
0.05000,Intercept,64,0.33000,0.99998,0.35323,0.40000,I,100000000
0.05000,Intercept,64,0.50000,0.99997,0.41739,0.40000,I,100000000
0.05000,Intercept,64,inf,0.99997,0.37392,0.40000,I,100000000
0.05000,Intercept,65,0.20000,0.99996,0.36867,0.40000,I,100000000
0.05000,Intercept,65,0.33000,0.99991,0.41799,0.40000,I,100000000
0.05000,Intercept,65,0.50000,0.99990,0.40703,0.40000,I,100000000
0.05000,Intercept,65,inf,0.99990,0.40991,0.40000,I,100000000
0.05000,Intercept,66,0.20000,0.99995,0.35643,0.40000,I,100000000
0.05000,Intercept,66,0.33000,0.99993,0.37052,0.40000,I,100000000
0.05000,Intercept,66,0.50000,0.99987,0.40412,0.40000,I,100000000
0.05000,Intercept,66,inf,0.99988,0.40483,0.40000,I,100000000
0.05000,Intercept,67,0.20000,0.99996,0.27853,0.40000,I,100000000
0.05000,Intercept,67,0.33000,0.99995,0.42500,0.40000,I,100000000
0.05000,Intercept,67,0.50000,0.99992,0.39365,0.40000,I,100000000
0.05000,Intercept,67,inf,0.99993,0.41076,0.40000,I,100000000
0.05000,Intercept,68,0.20000,0.99995,0.40543,0.40000,I,100000000
0.05000,Intercept,68,0.33000,0.99997,0.36528,0.40000,I,100000000
0.05000,Intercept,68,0.50000,0.99995,0.44078,0.40000,I,100000000
0.05000,Intercept,68,inf,0.99986,0.45998,0.40000,I,100000000
0.05000,Intercept,69,0.20000,0.99990,0.34481,0.40000,I,100000000
0.05000,Intercept,69,0.33000,0.99990,0.38582,0.40000,I,100000000
0.05000,Intercept,69,0.50000,0.99991,0.37017,0.40000,I,100000000
0.05000,Intercept,69,inf,0.99982,0.38605,0.40000,I,100000000
0.05000,Intercept,70,0.20000,0.99997,0.41820,0.40000,I,100000000
0.05000,Intercept,70,0.33000,0.99996,0.37095,0.40000,I,100000000
0.05000,Intercept,70,0.50000,0.99996,0.40185,0.40000,I,100000000
0.05000,Intercept,70,inf,0.99992,0.40605,0.40000,I,100000000
0.05000,Intercept,71,0.20000,0.99996,0.31963,0.40000,I,100000000
0.05000,Intercept,71,0.33000,0.99997,0.30391,0.40000,I,100000000
0.05000,Intercept,71,0.50000,0.99994,0.35140,0.40000,I,100000000
0.05000,Intercept,71,inf,0.99994,0.35149,0.40000,I,100000000
0.05000,Intercept,72,0.20000,0.99996,0.40952,0.40000,I,100000000
0.05000,Intercept,72,0.33000,0.99995,0.39665,0.40000,I,100000000
0.05000,Intercept,72,0.50000,0.99996,0.39946,0.40000,I,100000000
0.05000,Intercept,72,inf,0.99995,0.40861,0.40000,I,100000000
0.05000,Intercept,73,0.20000,0.99992,0.39583,0.40000,I,100000000
0.05000,Intercept,73,0.33000,0.99985,0.44166,0.40000,I,100000000
0.05000,Intercept,73,0.50000,0.99993,0.39301,0.40000,I,100000000
0.05000,Intercept,73,inf,0.99982,0.38985,0.40000,I,100000000
0.05000,Intercept,74,0.20000,0.99999,0.40467,0.40000,I,100000000
0.05000,Intercept,74,0.33000,0.99998,0.46078,0.40000,I,100000000
0.05000,Intercept,74,0.50000,0.99997,0.45588,0.40000,I,100000000
0.05000,Intercept,74,inf,0.99994,0.47640,0.40000,I,100000000
0.05000,Intercept,75,0.20000,0.99998,0.45394,0.40000,I,100000000
0.05000,Intercept,75,0.33000,0.99996,0.42218,0.40000,I,100000000
0.05000,Intercept,75,0.50000,0.99996,0.44081,0.40000,I,100000000
