t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter2,ub_counter2,m_y_actual,m_y_counter,day_avg
26feb2020,.0154573,0,.0584883,.346076,.3109871,.3811648,,,
27feb2020,.0154573,0,.0584883,.346076,.3109871,.3811648,,,
28feb2020,.0154573,0,.0584883,.346076,.3109871,.3811648,,,
29feb2020,.0088566,0,.0526038,.346076,.3109871,.3811648,,,
01mar2020,.0088566,0,.0526038,.346076,.3109871,.3811648,,,
02mar2020,.0088566,0,.0526038,.346076,.3109871,.3811648,,,
03mar2020,.0088566,0,.0526038,.346076,.3109871,.3811648,,,
04mar2020,.0088566,0,.0526038,.346076,.3109871,.3811648,,,
05mar2020,.0118393,0,.05614,.3490587,.3120429,.3860744,,,
02feb2020,.2944478,.2399045,.3489912,.3356436,.3005547,.3707324,,,
03feb2020,.2944478,.2399045,.3489912,.3356436,.3005547,.3707324,,,
04feb2020,.172064,.1163976,.2277304,.3356436,.3005547,.3707324,,,
05feb2020,.172064,.1163976,.2277304,.3356436,.3005547,.3707324,,,
06feb2020,.1486059,.0969281,.2002838,.3121855,.2835251,.3408459,,,
07feb2020,.0775751,.0259575,.1291928,.3356436,.3005547,.3707324,,,
08feb2020,.0775751,.0259575,.1291928,.3356436,.3005547,.3707324,,,
09feb2020,.0775751,.0259575,.1291928,.3356436,.3005547,.3707324,,,
10feb2020,.0775751,.0259575,.1291928,.3356436,.3005547,.3707324,,,
11feb2020,.0525607,.0040501,.1010713,.3356436,.3005547,.3707324,,,
12feb2020,.0525607,.0040501,.1010713,.3356436,.3005547,.3707324,,,
13feb2020,.050419,.0042229,.096615,.3335019,.2978279,.3691759,,,
14feb2020,.0525607,.0040501,.1010713,.3356436,.3005547,.3707324,,,
15feb2020,.0119314,0,.0595114,.3356436,.3005547,.3707324,,,
16feb2020,.0119314,0,.0595114,.3356436,.3005547,.3707324,,,
17feb2020,.0119314,0,.0595114,.3356436,.3005547,.3707324,,,
18feb2020,.0239121,0,.0666141,.3356436,.3005547,.3707324,,,
19feb2020,.0239121,0,.0666141,.3356436,.3005547,.3707324,,,
20feb2020,.015892,0,.0586075,.3276235,.2925502,.3626967,,,
21feb2020,.0239121,0,.0666141,.3356436,.3005547,.3707324,,,
22feb2020,.0061406,0,.0492979,.3356436,.3005547,.3707324,,,
23feb2020,.0061406,0,.0492979,.3356436,.3005547,.3707324,,,
24feb2020,.0061406,0,.0492979,.3356436,.3005547,.3707324,,,
25feb2020,.0050249,0,.0480559,.3356436,.3005547,.3707324,,,
