adm0_name,adm1_name,adm2_name,policy,policy_description,date_start,date_end,optional,source,access_date,notes,implied_policy
CHN,Neimenggu,All,emergency_declaration,Level 1 Emergency Declaration,01/25/2020,,N,https://news.xmnn.cn/xmnn/2020/01/25/100658946.shtml,5/6/2020,,False
CHN,Xinjiang,All,emergency_declaration,Level 1 Emergency Declaration,01/25/2020,,N,http://www.chinanews.com/gn/2020/01-25/9069324.shtml,5/6/2020,,False
CHN,Jilin,All,emergency_declaration,Level 1 Emergency Declaration,01/25/2020,,N,http://jl.sina.com.cn/news/s/2020-01-25/detail-iihnzhha4598267.shtml,5/6/2020,,False
CHN,Henan,All,emergency_declaration,Level 1 Emergency Declaration,01/25/2020,,N,http://m.news.cctv.com/2020/01/25/ARTINos3YgyLI3l21eKzMiV3200125.shtml,5/6/2020,,False
CHN,Heilongjiang,All,emergency_declaration,Level 1 Emergency Declaration,01/25/2020,,N,http://hlj.xinhuanet.com/klj/2020-01/26/c_138735091.htm,5/6/2020,,False
CHN,Hainan,All,emergency_declaration,Level 1 Emergency Declaration,01/25/2020,,N,http://www.hainan.gov.cn/hainan/szfwj/202001/6ef49dd6978c494795a170699705d7bc.shtml,5/6/2020,,False
CHN,Gansu,All,emergency_declaration,Level 1 Emergency Declaration,01/25/2020,,N,http://www.gs.xinhuanet.com/news/2020-01/25/c_1125501575.htm,5/6/2020,,False
CHN,Liaoning,All,emergency_declaration,Level 1 Emergency Declaration,01/25/2020,,N,https://www.thepaper.cn/newsDetail_forward_5632430,5/6/2020,,False
CHN,Henan,Shangqiu,travel_ban_local,,01/27/2020,,N,"https://news.sina.com.cn/c/2020-01-31/doc-iimxyqvy9241769.shtml, https://www.sqnu.edu.cn/info/1013/14613.htm, http://finance.eastmoney.com/a/202002111378815530.html",3/17/2020,,True
CHN,Anhui,All,travel_ban_local,,01/27/2020,,N,http://www.caixin.com/2020-03-09/101506971.html,3/17/2020,,False
CHN,Henan,Shangqiu,home_isolation,,01/27/2020,,N,"https://news.sina.com.cn/c/2020-01-31/doc-iimxyqvy9241769.shtml, https://www.sqnu.edu.cn/info/1013/14613.htm, http://finance.eastmoney.com/a/202002111378815530.html",3/17/2020,,False
