country,adm0_name,adm1_name,adm2_name,date,susceptible_individuals_no_policy,infectious_individuals_no_policy,recovered_individuals_no_policy,share_of_susceptible_individuals_no_policy,cum_confirmed_cases_no_policy,cum_infections_no_policy,susceptible_individuals_with_policy,infectious_individuals_with_policy,recovered_individuals_with_policy,share_of_susceptible_individuals_with_policy,cum_confirmed_cases_with_policy,cum_infections_with_policy,cases_saved,infections_saved
italy,ITA,Campania,Napoli,2020-03-16,2969889.8679221133,91715.8777716146,23284.254306272138,0.9627214804813505,4778.050989579393,111117.46487393937,3070507.6766787735,10223.230780743825,4159.092540482525,0.9953378164792824,605.8549627628807,14089.650296811182,4172.196026816512,97027.81457712819
italy,ITA,Campania,Napoli,2020-03-17,2924609.180845446,127427.77281966778,32853.04633488646,0.9480432627566772,6663.001787632822,154953.52994494938,3067781.5653346675,12057.838345148924,5050.596320183482,0.9944541184076798,720.977167567897,16766.910873672026,5942.024620064925,138186.61907127735
italy,ITA,Campania,Napoli,2020-03-18,2861829.554378437,176922.03059957022,46138.415021992754,0.9276925771675609,9276.569047354536,215734.163891966,3064465.2879093313,14316.023189330992,6108.688901337795,0.993379111705549,860.9375293448172,20021.803008019007,8415.631518009719,195712.360883947
italy,ITA,Campania,Napoli,2020-03-19,2773569.123779896,246639.71466831063,64681.161551793106,0.8990820171156496,12949.678307700395,301155.30948140455,3060250.5338377357,17256.001392239938,7383.464770024642,0.9920128542144893,1038.5746317655664,24152.89841315271,11911.103675934828,277002.4110682518
italy,ITA,Campania,Napoli,2020-03-20,2657883.9032073827,337086.71267918916,89919.38411342818,0.8615814188536326,17772.30136368716,413309.33403923624,3055314.3623685585,20665.298386300343,8910.339245141018,0.990412741578649,1246.7384648788886,28993.917787881135,16525.562898808268,384315.4162513551
italy,ITA,Campania,Napoli,2020-03-21,2514116.0141232233,447516.6132654022,123257.3726113746,0.8149775240359375,23780.61189472104,553037.4859237452,3049750.5973385945,24423.481684171187,10715.920977234375,0.9886091877955436,1481.6496866136515,34456.96945613143,22298.96220810739,518580.51646761375
italy,ITA,Campania,Napoli,2020-03-22,2319841.664380809,597233.7842817853,167814.55133740604,0.7520014212438073,31896.10837854127,741769.9622916575,3045725.3342832895,26467.172119620176,12697.493597090244,0.9873043558387137,1653.0204562019608,38442.33619074328,30243.08792233931,703327.6261009142
italy,ITA,Campania,Napoli,2020-03-23,2111042.714310553,750429.2930048124,223417.9926846344,0.6843170143215975,40664.068331929804,945676.0077192979,3042581.4520911365,27526.055521767372,14782.492387095932,0.986285232890358,1787.4751128824785,41569.18867168555,38876.593219047325,904106.8190476124
italy,ITA,Campania,Napoli,2020-03-24,1876959.2660838147,916638.0948231048,291292.63909308054,0.6084363676123994,50518.34469049708,1174845.2253603972,3039234.726678946,28700.623169591338,16954.65015146276,0.9852003561485,1930.5612357722582,44896.77292493624,48587.78345472482,1129948.452435461
italy,ITA,Campania,Napoli,2020-03-25,1625722.0983253403,1087292.004537384,371875.89713727566,0.526995159738383,61122.57747953917,1421455.2902218413,3035535.3408794226,30124.837422489098,19229.8216980882,0.984001160780262,2088.602818908668,48572.158579271345,59033.974660630505,1372883.13164257
italy,ITA,Campania,Napoli,2020-03-26,1365900.860769293,1253949.8189076935,465039.32032301347,0.442771334073271,72117.36051097524,1677147.9188598895,3031145.4935292,32100.91905893765,21643.587411862332,0.9825781449352166,2275.8270807645054,52926.211180569895,69841.53343021074,1624221.7076793197
italy,ITA,Campania,Napoli,2020-03-27,1125275.7311084413,1390677.4889692646,568936.7799222942,0.364770131547135,82337.75400847889,1914831.4885692766,3026692.0963218748,33993.722553174965,24204.181124950293,0.9811345287261052,2465.8913397120727,57346.31022586216,79871.86266876681,1857485.1783434146
italy,ITA,Campania,Napoli,2020-03-28,917417.6964594211,1486584.0248411123,680888.2786994666,0.29739073239545694,91199.55661209568,2120919.9212115277,3022459.7462180685,35538.67024593748,26891.583535993937,0.9797625672935075,2646.785024350953,61553.14010118495,88552.77158774473,2059366.7811103426
italy,ITA,Campania,Napoli,2020-03-29,725687.7913772603,1560192.8905338908,799009.3180888488,0.23523943848152135,99390.28236035051,2311401.9153569886,3016661.340301264,38456.829983250514,29771.82971548522,0.9778829521640201,2893.6820630110024,67294.9316979303,96496.60029733951,2244106.9836590583
italy,ITA,Campania,Napoli,2020-03-30,582927.0089770136,1581843.5114757586,920119.4795472277,0.18896200803821647,105515.82244350169,2453856.3358953884,3012140.7246200815,39950.219781038155,32799.055598880164,0.976417546369589,3087.041834604165,71791.67057218989,102428.78060889752,2382064.6653231983
italy,ITA,Campania,Napoli,2020-03-31,467229.27860103926,1576054.757922464,1041605.9634764967,0.1514573545899657,110493.81723993307,2569623.6567426296,3007336.4032084523,41604.521715846495,35949.075075701345,0.9748601743363466,3292.475611790662,76569.20027420144,107201.3416281424,2493054.456468428
italy,ITA,Campania,Napoli,2020-04-01,374132.84136010497,1549057.4937417966,1161699.6648980984,0.12127915139927355,114510.0865650532,2663025.268954726,3002035.4056775454,43610.460545131114,39244.133777323645,0.9731417994409997,3518.974653551703,81836.61985003961,110991.1119115015,2581188.6491046865
italy,ITA,Campania,Napoli,2020-04-02,298767.563434542,1507047.9044662071,1279074.532099251,0.0968486926388111,117769.74720390783,2738831.330323438,2995758.0504456484,46397.490732646045,42734.45882170554,0.971106927782076,3786.7460059681807,88063.86060391119,113983.00119793965,2650767.469719527
italy,ITA,Campania,Napoli,2020-04-03,241136.51585337854,1451112.631667361,1392640.8524792606,0.07816697381539651,120271.09558223127,2797002.2228425876,2989404.0938621378,49054.63757472993,46431.26856313227,0.9690472249779207,4057.971429354976,94371.4285896506,116213.12415287629,2702630.794252937
italy,ITA,Campania,Napoli,2020-04-04,197612.65822652206,1385746.550890581,1501530.7908828969,0.06405825109696685,122167.83528385937,2841112.448461846,2983378.7577007213,51205.921531061285,50305.320768217556,0.9670940479889789,4315.544622711708,100361.50285376066,117852.29066114766,2740750.9456080855
italy,ITA,Campania,Napoli,2020-04-05,160901.0982572425,1318652.4436718223,1605336.4580709352,0.05215780733097209,123771.46809509545,2878406.234769662,2975145.003567435,55296.11367513154,54448.88275743369,0.9644249887572766,4666.214332469087,108516.61238300204,119105.25376262637,2769889.62238666
italy,ITA,Campania,Napoli,2020-04-06,134815.33026695097,1246286.2958296824,1703788.3739033667,0.043701827380214844,124918.40435982586,2905079.171158741,2968742.148654676,57350.850032192386,58797.00131313177,0.9623494350380973,4940.136366708275,114886.89224902967,119978.26799311758,2790192.2789097116
italy,ITA,Campania,Salerno,2020-03-08,1098164.1627906978,348.8372093023256,0,0.9996824459889849,15,348.8372093023256,1098164.1627906978,348.8372093023256,0,0.9996824459889849,15,348.8372093023256,0,0
italy,ITA,Campania,Salerno,2020-03-09,1097980.66338627,494.9863570832228,37.350256646750495,0.9995154025362194,22.624933732101947,526.1612495837662,1098038.0448761748,442.2347293257525,32.7203944993671,0.999567638140081,20.291703811633166,471.90008864263183,2.3332299204687814,54.26116094113439
italy,ITA,Campania,Salerno,2020-03-10,1097718.254779829,704.2192786245447,90.52594154654071,0.9992765263404519,33.52633198753523,779.6821392450054,1097902.021508524,538.4819761693731,72.49651530664414,0.9994438131442449,26.019408094508822,605.1025138257867,7.506923893026407,174.5796254192187
italy,ITA,Campania,Salerno,2020-03-11,1097337.4748581576,1008.69206976405,166.83307207841426,0.998929894191655,49.33621752299173,1147.3538958835288,1097749.0776092547,643.8531539373733,120.06923680799082,0.999304585024715,32.47013867502121,755.1195040702607,16.86607884797052,392.2343918132681
italy,ITA,Campania,Salerno,2020-03-12,1096767.57052949,1467.1176829337442,278.3117875761818,0.9984110980293269,72.96776611329474,1696.9247933324361,1097553.3292930129,781.8484906485065,177.82221633871086,0.999126391124195,40.714761752978575,946.8549244878739,32.25300436031617,750.0698688445623
