date,adm0_name,adm1_id,adm1_name,lat,lon,cum_hospitalized_symptom,cum_intensive_care,cum_hospitalized,cum_home_confinement,active_cases,active_cases_new,cum_recoveries,cum_deaths,cum_confirmed_cases,cum_tests,cum_hospitalized_symptom_imputed,cum_intensive_care_imputed,cum_hospitalized_imputed,cum_home_confinement_imputed,cum_recoveries_imputed,cum_deaths_imputed,cum_confirmed_cases_imputed,cum_tests_imputed
2020-02-26,ITA,14,Molise,41.5577475,14.6591605,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,0,0,0,0
2020-02-26,ITA,1,Piemonte,45.0732745,7.6806875,2.0000000,0.0000000,2.0000000,,3,0,0.0000000,0.0000000,,156.0000000,2,0,2,0,0,0,2,156
2020-02-26,ITA,16,Puglia,41.1255958,16.8673669,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,0,0,0,0
2020-02-26,ITA,20,Sardegna,39.2153119,9.1106163,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,1.0000000,0,0,0,0,0,0,0,1
2020-02-26,ITA,19,Sicilia,38.1156972,13.3623567,1.0000000,0.0000000,1.0000000,,3,0,0.0000000,0.0000000,3.0000000,5.0000000,1,0,1,0,0,0,3,5
2020-02-26,ITA,9,Toscana,43.7692308,11.2558888,2.0000000,0.0000000,2.0000000,0.0000000,2,0,0.0000000,0.0000000,2.0000000,363.0000000,2,0,2,0,0,0,2,363
2020-02-26,ITA,4,P.A. Trento,46.0689351,11.1212310,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,3.0000000,0,0,0,0,0,0,0,3
2020-02-26,ITA,10,Umbria,43.1067584,12.3882470,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,8.0000000,0,0,0,0,0,0,0,8
2020-02-26,ITA,2,Valle d'Aosta,45.7375029,7.3201494,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,7.0000000,0,0,0,0,0,0,0,7
2020-02-26,ITA,5,Veneto,45.4349049,12.3384521,16.0000000,8.0000000,24.0000000,45.0000000,69,27,0.0000000,2.0000000,71.0000000,4900.0000000,16,8,24,45,0,2,71,4900
2020-02-27,ITA,13,Abruzzo,42.3512220,13.3984382,1.0000000,0.0000000,1.0000000,0.0000000,1,1,0.0000000,0.0000000,1.0000000,33.0000000,1,0,1,0,0,0,1,33
2020-02-27,ITA,17,Basilicata,40.6394705,15.8051483,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,0,0,0,0
2020-02-27,ITA,4,P.A. Bolzano,46.4993345,11.3566242,1.0000000,0.0000000,1.0000000,0.0000000,1,0,0.0000000,0.0000000,1.0000000,2.0000000,1,0,1,0,0,0,1,2
2020-02-27,ITA,18,Calabria,38.9059760,16.5944019,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,14.0000000,0,0,0,0,0,0,0,14
2020-02-27,ITA,15,Campania,40.8395656,14.2508498,2.0000000,0.0000000,2.0000000,1.0000000,3,3,0.0000000,0.0000000,3.0000000,10.0000000,2,0,2,1,0,0,3,10
2020-02-27,ITA,8,Emilia Romagna,44.4943668,11.3417208,36.0000000,6.0000000,42.0000000,54.0000000,96,50,0.0000000,1.0000000,97.0000000,1033.0000000,36,6,42,54,0,1,97,1033
2020-02-27,ITA,6,Friuli Venezia Giulia,45.6494354,13.7681365,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,141.0000000,0,0,0,0,0,0,0,141
2020-02-27,ITA,12,Lazio,41.8927704,12.4836672,0.0000000,0.0000000,0.0000000,0.0000000,0,0,3.0000000,0.0000000,3.0000000,552.0000000,0,0,0,0,3,0,3,552
2020-02-27,ITA,7,Liguria,44.4114931,8.9326992,,0.0000000,,,19,8,0.0000000,0.0000000,19.0000000,78.0000000,2,0,2,5,0,0,19,78
2020-02-27,ITA,3,Lombardia,45.4667941,9.1903474,172.0000000,41.0000000,213.0000000,,349,100,40.0000000,14.0000000,403.0000000,3320.0000000,172,41,213,73,40,14,403,3320
2020-02-27,ITA,11,Marche,43.6167597,13.5188753,2.0000000,1.0000000,3.0000000,0.0000000,3,2,0.0000000,0.0000000,3.0000000,46.0000000,2,1,3,0,0,0,3,46
2020-02-27,ITA,14,Molise,41.5577475,14.6591605,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,0,0,0,0
2020-02-27,ITA,1,Piemonte,45.0732745,7.6806875,2.0000000,0.0000000,2.0000000,0.0000000,2,-1,0.0000000,0.0000000,2.0000000,156.0000000,2,0,2,0,0,0,2,156
2020-02-27,ITA,16,Puglia,41.1255958,16.8673669,1.0000000,0.0000000,1.0000000,0.0000000,1,1,0.0000000,0.0000000,1.0000000,0.0000000,1,0,1,0,0,0,1,0
2020-02-27,ITA,20,Sardegna,39.2153119,9.1106163,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,1.0000000,0,0,0,0,0,0,0,1
2020-02-27,ITA,19,Sicilia,38.1156972,13.3623567,1.0000000,0.0000000,1.0000000,1.0000000,2,-1,2.0000000,0.0000000,4.0000000,5.0000000,1,0,1,1,2,0,4,5
2020-02-27,ITA,9,Toscana,43.7692308,11.2558888,2.0000000,0.0000000,2.0000000,0.0000000,2,0,0.0000000,0.0000000,2.0000000,410.0000000,2,0,2,0,0,0,2,410
2020-02-27,ITA,4,P.A. Trento,46.0689351,11.1212310,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,32.0000000,0,0,0,0,0,0,0,32
2020-02-27,ITA,10,Umbria,43.1067584,12.3882470,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,8.0000000,0,0,0,0,0,0,0,8
2020-02-27,ITA,2,Valle d'Aosta,45.7375029,7.3201494,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,9.0000000,0,0,0,0,0,0,0,9
2020-02-27,ITA,5,Veneto,45.4349049,12.3384521,19.0000000,8.0000000,27.0000000,82.0000000,109,40,0.0000000,2.0000000,111.0000000,6164.0000000,19,8,27,82,0,2,111,6164
2020-02-28,ITA,13,Abruzzo,42.3512220,13.3984382,1.0000000,0.0000000,1.0000000,0.0000000,1,0,0.0000000,0.0000000,1.0000000,33.0000000,1,0,1,0,0,0,1,33
2020-02-28,ITA,17,Basilicata,40.6394705,15.8051483,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,0,0,0,0
2020-02-28,ITA,4,P.A. Bolzano,46.4993345,11.3566242,1.0000000,0.0000000,1.0000000,0.0000000,1,0,0.0000000,0.0000000,1.0000000,2.0000000,1,0,1,0,0,0,1,2
2020-02-28,ITA,18,Calabria,38.9059760,16.5944019,0.0000000,0.0000000,0.0000000,1.0000000,1,1,0.0000000,0.0000000,1.0000000,21.0000000,0,0,0,1,0,0,1,21
2020-02-28,ITA,15,Campania,40.8395656,14.2508498,2.0000000,0.0000000,2.0000000,2.0000000,4,1,0.0000000,0.0000000,4.0000000,213.0000000,2,0,2,2,0,0,4,213
2020-02-28,ITA,8,Emilia Romagna,44.4943668,11.3417208,56.0000000,6.0000000,62.0000000,81.0000000,143,47,0.0000000,2.0000000,145.0000000,1277.0000000,56,6,62,81,0,2,145,1277
2020-02-28,ITA,6,Friuli Venezia Giulia,45.6494354,13.7681365,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,169.0000000,0,0,0,0,0,0,0,169
2020-02-28,ITA,12,Lazio,41.8927704,12.4836672,0.0000000,0.0000000,0.0000000,0.0000000,0,0,3.0000000,0.0000000,3.0000000,611.0000000,0,0,0,0,3,0,3,611
2020-02-28,ITA,7,Liguria,44.4114931,8.9326992,,0.0000000,,,19,0,0.0000000,0.0000000,19.0000000,112.0000000,3,0,3,5,0,0,19,112
2020-02-28,ITA,3,Lombardia,45.4667941,9.1903474,235.0000000,47.0000000,282.0000000,,474,125,40.0000000,17.0000000,531.0000000,4835.0000000,235,47,282,73,40,17,531,4835
2020-02-28,ITA,11,Marche,43.6167597,13.5188753,3.0000000,2.0000000,5.0000000,1.0000000,6,3,0.0000000,0.0000000,6.0000000,47.0000000,3,2,5,1,0,0,6,47
2020-02-28,ITA,14,Molise,41.5577475,14.6591605,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,0,0,0,0
2020-02-28,ITA,1,Piemonte,45.0732745,7.6806875,7.0000000,0.0000000,7.0000000,4.0000000,11,9,0.0000000,0.0000000,11.0000000,227.0000000,7,0,7,4,0,0,11,227
2020-02-28,ITA,16,Puglia,41.1255958,16.8673669,1.0000000,0.0000000,1.0000000,2.0000000,3,2,0.0000000,0.0000000,3.0000000,242.0000000,1,0,1,2,0,0,3,242
2020-02-28,ITA,20,Sardegna,39.2153119,9.1106163,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0.0000000,1.0000000,0,0,0,0,0,0,0,1
