adm3_name,adm_1_name,pop,state,place
Texhoma city,Texas,341.0,48,72464
Trinity city,Texas,2741.0,48,73664
Burkburnett city,Texas,11100.0,48,11368
Portland city,Texas,16618.0,48,58904
Lincoln Park town,Texas,145.0,48,42808
Gladewater city,Texas,6381.0,48,29660
Warren City city,Texas,312.0,48,76576
La Paloma-Lost Creek CDP,Texas,600.0,48,41422
Sandy Hollow-Escondidas CDP,Texas,388.0,48,65342
Arroyo Colorado Estates CDP,Texas,486.0,48,04174
Bixby CDP,Texas,608.0,48,08410
Lasana CDP,Texas,121.0,48,41542
Diboll city,Texas,5325.0,48,20308
Highland Village city,Texas,16168.0,48,33848
Justin city,Texas,3529.0,48,38332
Krum city,Texas,4896.0,48,39928
Lake Dallas city,Texas,7716.0,48,40516
Oak Point city,Texas,3503.0,48,53130
Ponder town,Texas,1670.0,48,58664
Interlaken town,Utah,158.0,49,37924
Randolph town,Utah,648.0,49,63020
Thatcher CDP,Utah,700.0,49,75800
Dutch John town,Utah,131.0,49,20780
Flaming Gorge CDP,Utah,85.0,49,25910
Carbonville CDP,Utah,1530.0,49,10440
Spring Glen CDP,Utah,1129.0,49,72060
Kenilworth CDP,Utah,245.0,49,41020
West Wood CDP,Utah,655.0,49,83730
Clear Creek CDP,Utah,14.0,49,13740
Emigration Canyon CDP,Utah,1931.0,49,22875
Copperton CDP,Utah,579.0,49,15720
Central CDP,Utah,641.0,49,12200
Veyo CDP,Utah,468.0,49,80310
Dammeron Valley CDP,Utah,805.0,49,18090
Pine Valley CDP,Utah,224.0,49,60270
Deseret CDP,Utah,274.0,49,19020
Oasis CDP,Utah,0.0,49,55760
Sutherland CDP,Utah,92.0,49,74590
Bonanza CDP,Utah,0.0,49,06920
Jensen CDP,Utah,113.0,49,39040
Eden CDP,Utah,725.0,49,21990
Wolf Creek CDP,Utah,1138.0,49,84950
Liberty CDP,Utah,1427.0,49,44870
Thompson Springs CDP,Utah,170.0,49,76180
