date,adm0_name,adm1_name,adm_level,cumulative_confirmed_cases,cumulative_tests,cumulative_deaths
2020-03-23,USA,Wyoming,1,26.0,618.0,
2020-03-22,USA,Alaska,1,22.0,968.0,
2020-03-22,USA,Alabama,1,138.0,1602.0,0.0
2020-03-22,USA,Arkansas,1,165.0,876.0,0.0
2020-03-22,USA,American Samoa,1,,,0.0
2020-03-22,USA,Arizona,1,152.0,434.0,2.0
2020-03-22,USA,California,1,1536.0,12840.0,27.0
2020-03-22,USA,Colorado,1,475.0,4550.0,5.0
2020-03-22,USA,Connecticut,1,223.0,3100.0,5.0
2020-03-22,USA,District of Columbia,1,98.0,1055.0,1.0
2020-03-22,USA,Delaware,1,56.0,92.0,0.0
2020-03-22,USA,Florida,1,830.0,8820.0,13.0
2020-03-22,USA,Georgia,1,600.0,4020.0,23.0
2020-03-22,USA,Guam,1,27.0,153.0,1.0
2020-03-22,USA,Hawaii,1,48.0,311.0,
2020-03-22,USA,Iowa,1,90.0,1305.0,
2020-03-22,USA,Idaho,1,42.0,1217.0,0.0
2020-03-22,USA,Illinois,1,1058.0,8329.0,9.0
2020-03-22,USA,Indiana,1,201.0,1494.0,6.0
2020-03-22,USA,Kansas,1,64.0,481.0,2.0
2020-03-22,USA,Kentucky,1,99.0,1571.0,3.0
2020-03-22,USA,Louisiana,1,837.0,3498.0,20.0
2020-03-22,USA,Massachusetts,1,646.0,6105.0,5.0
2020-03-22,USA,Maryland,1,244.0,338.0,3.0
2020-03-22,USA,Maine,1,89.0,2353.0,
2020-03-22,USA,Michigan,1,1035.0,3104.0,8.0
2020-03-22,USA,Minnesota,1,169.0,4680.0,1.0
2020-03-22,USA,Missouri,1,90.0,459.0,3.0
2020-03-22,USA,Northern Marianas,1,0.0,,0.0
2020-03-22,USA,Mississippi,1,207.0,1321.0,1.0
2020-03-22,USA,Montana,1,31.0,1177.0,
2020-03-22,USA,North Carolina,1,255.0,6438.0,0.0
2020-03-22,USA,North Dakota,1,28.0,1288.0,0.0
2020-03-22,USA,Nebraska,1,48.0,404.0,0.0
2020-03-22,USA,New Hampshire,1,65.0,1253.0,
2020-03-22,USA,New Jersey,1,1914.0,2241.0,20.0
2020-03-22,USA,New Mexico,1,57.0,4779.0,
2020-03-22,USA,Nevada,1,190.0,2638.0,2.0
2020-03-22,USA,New York,1,15168.0,61401.0,114.0
2020-03-22,USA,Ohio,1,351.0,491.0,3.0
2020-03-22,USA,Oklahoma,1,67.0,736.0,2.0
2020-03-22,USA,Oregon,1,161.0,3025.0,4.0
2020-03-22,USA,Pennsylvania,1,479.0,5443.0,2.0
2020-03-22,USA,Puerto Rico,1,23.0,206.0,
2020-03-22,USA,Rhode Island,1,83.0,1015.0,
2020-03-22,USA,South Carolina,1,195.0,1661.0,3.0
2020-03-22,USA,South Dakota,1,21.0,761.0,1.0
2020-03-22,USA,Tennessee,1,505.0,3777.0,
2020-03-22,USA,Texas,1,334.0,8756.0,5.0
2020-03-22,USA,Utah,1,181.0,3689.0,1.0
2020-03-22,USA,Virginia,1,219.0,3337.0,3.0
2020-03-22,USA,Virgin Islands,1,6.0,,0.0
