date,adm0_name,adm1_name,cum_confirmed_cases,cum_confirmed_cases_imputed,cum_deaths,cum_deaths_imputed
2020-04-05,USA,Pennsylvania,11496,11496,150,150
2020-04-06,USA,Pennsylvania,12973,12973,162,162
2020-04-07,USA,Pennsylvania,14559,14559,240,240
2020-04-08,USA,Pennsylvania,16239,16239,309,309
2020-04-09,USA,Pennsylvania,18228,18228,338,338
2020-04-10,USA,Pennsylvania,19978,19978,416,416
2020-04-11,USA,Pennsylvania,21655,21655,494,494
2020-04-12,USA,Pennsylvania,22833,22833,507,507
2020-04-13,USA,Pennsylvania,24196,24196,507,507
2020-04-14,USA,Pennsylvania,25345,25345,584,584
2020-04-15,USA,Pennsylvania,26490,26490,647,647
2020-04-16,USA,Pennsylvania,27734,27734,647,647
2020-04-17,USA,Pennsylvania,29439,29439,756,756
2020-04-18,USA,Pennsylvania,31066,31066,836,836
2020-04-19,USA,Pennsylvania,32283,32283,1112,1112
2020-04-20,USA,Pennsylvania,33231,33231,1204,1204
2020-04-21,USA,Pennsylvania,34522,34522,1390,1390
2020-04-22,USA,Pennsylvania,35679,35679,1413,1413
2020-04-23,USA,Pennsylvania,37053,37053,1421,1421
2020-04-24,USA,Pennsylvania,38652,38652,1492,1492
2020-04-25,USA,Pennsylvania,40046,40046,1536,1536
2020-04-26,USA,Pennsylvania,41164,41164,1549,1549
2020-04-27,USA,Pennsylvania,42048,42048,1596,1596
2020-04-28,USA,Pennsylvania,43262,43262,1715,1715
2020-04-29,USA,Pennsylvania,44366,44366,2192,2192
2020-04-30,USA,Pennsylvania,45759,45759,2290,2290
2020-05-01,USA,Pennsylvania,46968,46968,2352,2352
2020-05-02,USA,Pennsylvania,48300,48300,2418,2418
2020-05-03,USA,Pennsylvania,49260,49260,2444,2444
2020-05-04,USA,Pennsylvania,50084,50084,2458,2458
2020-05-05,USA,Pennsylvania,50949,50949,3010,3010
2020-05-06,USA,Pennsylvania,51834,51834,3106,3106
2020-05-07,USA,Pennsylvania,52903,52903,3412,3412
2020-05-08,USA,Pennsylvania,54226,54226,3605,3605
2020-05-09,USA,Pennsylvania,55306,55306,3688,3688
2020-05-10,USA,Pennsylvania,56599,56599,3707,3707
2020-05-11,USA,Pennsylvania,57143,57143,3731,3731
2020-01-22,USA,Rhode Island,0,0,0,0
2020-01-23,USA,Rhode Island,0,0,0,0
2020-01-24,USA,Rhode Island,0,0,0,0
2020-01-25,USA,Rhode Island,0,0,0,0
2020-01-26,USA,Rhode Island,0,0,0,0
2020-01-27,USA,Rhode Island,0,0,0,0
2020-01-28,USA,Rhode Island,0,0,0,0
2020-01-29,USA,Rhode Island,0,0,0,0
2020-01-30,USA,Rhode Island,0,0,0,0
2020-01-31,USA,Rhode Island,0,0,0,0
2020-02-01,USA,Rhode Island,0,0,0,0
2020-02-02,USA,Rhode Island,0,0,0,0
2020-02-03,USA,Rhode Island,0,0,0,0
2020-02-04,USA,Rhode Island,0,0,0,0
2020-02-05,USA,Rhode Island,0,0,0,0
2020-02-06,USA,Rhode Island,0,0,0,0
2020-02-07,USA,Rhode Island,0,0,0,0
2020-02-08,USA,Rhode Island,0,0,0,0
2020-02-09,USA,Rhode Island,0,0,0,0
2020-02-10,USA,Rhode Island,0,0,0,0
2020-02-11,USA,Rhode Island,0,0,0,0
2020-02-12,USA,Rhode Island,0,0,0,0
2020-02-13,USA,Rhode Island,0,0,0,0
2020-02-14,USA,Rhode Island,0,0,0,0
2020-02-15,USA,Rhode Island,0,0,0,0
2020-02-16,USA,Rhode Island,0,0,0,0
2020-02-17,USA,Rhode Island,0,0,0,0
2020-02-18,USA,Rhode Island,0,0,0,0
2020-02-19,USA,Rhode Island,0,0,0,0
2020-02-20,USA,Rhode Island,0,0,0,0
2020-02-21,USA,Rhode Island,0,0,0,0
2020-02-22,USA,Rhode Island,0,0,0,0
2020-02-23,USA,Rhode Island,0,0,0,0
2020-02-24,USA,Rhode Island,0,0,0,0
2020-02-25,USA,Rhode Island,0,0,0,0
2020-02-26,USA,Rhode Island,0,0,0,0
2020-02-27,USA,Rhode Island,0,0,0,0
2020-02-28,USA,Rhode Island,0,0,0,0
2020-02-29,USA,Rhode Island,0,0,0,0
2020-03-01,USA,Rhode Island,1,1,0,0
2020-03-02,USA,Rhode Island,2,2,0,0
2020-03-03,USA,Rhode Island,2,2,0,0
2020-03-04,USA,Rhode Island,2,2,0,0
2020-03-05,USA,Rhode Island,2,2,0,0
2020-03-06,USA,Rhode Island,2,2,0,0
2020-03-07,USA,Rhode Island,3,3,0,0
2020-03-08,USA,Rhode Island,3,3,0,0
2020-03-09,USA,Rhode Island,3,3,0,0
2020-03-10,USA,Rhode Island,5,5,0,0
2020-03-11,USA,Rhode Island,5,5,0,0
2020-03-12,USA,Rhode Island,5,5,0,0
2020-03-13,USA,Rhode Island,14,14,0,0
2020-03-14,USA,Rhode Island,20,20,0,0
2020-03-15,USA,Rhode Island,20,20,0,0
2020-03-16,USA,Rhode Island,21,21,0,0
2020-03-17,USA,Rhode Island,23,23,0,0
2020-03-18,USA,Rhode Island,33,33,0,0
2020-03-19,USA,Rhode Island,44,44,0,0
2020-03-20,USA,Rhode Island,44,44,0,0
2020-03-21,USA,Rhode Island,66,66,0,0
2020-03-22,USA,Rhode Island,83,83,0,0
2020-03-23,USA,Rhode Island,106,106,0,0
2020-03-24,USA,Rhode Island,106,106,0,0
2020-03-25,USA,Rhode Island,132,132,0,0
2020-03-26,USA,Rhode Island,165,165,0,0
2020-03-27,USA,Rhode Island,203,203,0,0
2020-03-28,USA,Rhode Island,239,239,2,2
2020-03-29,USA,Rhode Island,267,267,3,3
2020-03-30,USA,Rhode Island,406,406,4,4
2020-03-31,USA,Rhode Island,485,485,8,8
2020-04-01,USA,Rhode Island,563,563,10,10
2020-04-02,USA,Rhode Island,651,651,12,12
2020-04-03,USA,Rhode Island,705,705,14,14
2020-04-04,USA,Rhode Island,806,806,15,15
2020-04-05,USA,Rhode Island,922,922,25,25
2020-04-06,USA,Rhode Island,1082,1082,27,27
2020-04-07,USA,Rhode Island,1229,1229,30,30
2020-04-08,USA,Rhode Island,1439,1439,35,35
