adm1_name,adm3_name,date_closed,source,policy,access_date,Optional
Iowa,Council Bluffs,2020-03-17,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Creston,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Dallas Center,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Danville,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Davenport,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Bloomfield,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Decorah,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Delmar,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Denison,2020-03-17,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Denver,2020-03-18,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Des Moines,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Dike,2020-03-19,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Dubuque,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
Iowa,Dunkerton,2020-03-16,https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,school_closure,2020-03-25,N
