country,adm0_name,adm1_name,adm2_name,date,susceptible_individuals_no_policy,infectious_individuals_no_policy,recovered_individuals_no_policy,share_of_susceptible_individuals_no_policy,cum_confirmed_cases_no_policy,cum_infections_no_policy,susceptible_individuals_with_policy,infectious_individuals_with_policy,recovered_individuals_with_policy,share_of_susceptible_individuals_with_policy,cum_confirmed_cases_with_policy,cum_infections_with_policy,cases_saved,infections_saved
italy,ITA,Toscana,Pisa,2020-03-30,101514.81165956212,213281.04370511128,104241.1446353266,0.24225739411928332,13366.027013763167,310837.837529376,405519.12681117665,7722.543135540985,5795.330053282378,0.9677406214992391,573.5211818116073,13337.70190259552,12792.50583195156,297500.13562678045
italy,ITA,Toscana,Pisa,2020-03-31,80712.53518277408,217466.11036228942,120858.3544549365,0.19261433998137176,14257.898108238289,331579.0257729835,404498.47657813143,8129.74137212714,6408.782049741421,0.965304917174692,617.1097584719182,14351.389731905076,13640.788349766372,317227.6360410784
italy,ITA,Toscana,Pisa,2020-04-01,63811.82432508648,217620.037734455,137605.13794045852,0.1522820761056577,14984.522506011775,348477.2675816692,403367.01725577714,8612.5231727734,7057.459571449435,0.962604775367753,665.3966187718655,15474.339971438734,14319.12588723991,333002.92761023046
italy,ITA,Toscana,Pisa,2020-04-02,50125.179838742944,214687.63890648287,154224.1812547742,0.11961993771133085,15574.506491382097,362197.82538097905,402027.6175457444,9257.414982784156,7751.967471471464,0.9594083996061074,722.4683851109078,16801.59035141646,14852.03810627119,345396.2350295626
italy,ITA,Toscana,Pisa,2020-04-03,39714.226867299294,208832.1977618319,170490.5753708688,0.09477498852678712,16024.815540396088,372670.1288464207,400654.84476129815,9887.185311516878,8494.969927184982,0.956132381535039,781.0019246672535,18162.83545737799,15243.813615728835,354507.29338904266
italy,ITA,Toscana,Pisa,2020-04-04,31926.5091186005,200890.47752763648,186220.01335376303,0.07619019112536721,16362.956464345276,380533.87126384367,399330.2458814446,10425.47849492908,9281.275623626309,0.9529713268313886,837.5607603603859,19478.157217683394,15525.39570398489,361055.7140461603
italy,ITA,Toscana,Pisa,2020-04-05,25459.496211402828,192265.17197253858,201312.3318160586,0.06075715560058617,16644.43209606104,387079.81618746603,397541.9570592317,11364.06739036039,10130.975550407893,0.9487037112694863,913.6495634974807,21247.664267383272,15730.782532563559,365832.15192008275
italy,ITA,Toscana,Pisa,2020-04-06,20924.174894155287,182418.80080969178,215694.02429615293,0.04993395546015098,16843.02202015527,391698.18651523883,396104.7598617722,11901.750912853717,11030.489225374127,0.9452739492258969,975.0636850021175,22675.899651212036,15867.958335153151,369022.2868640268
italy,ITA,Toscana,Pistoia,2020-03-08,292170.67441860464,302.3255813953489,0,0.9989663128514585,13,302.3255813953489,292170.67441860464,302.3255813953489,0,0.9989663128514585,13,302.3255813953489,0,0
italy,ITA,Toscana,Pistoia,2020-03-09,292012.2485710944,428.433729105571,32.31769980001263,0.9984246360214256,19.583781351410213,455.43677561419105,292061.8611566029,382.8171124178382,28.321730979252607,0.9985942673566548,17.566102444242127,408.51401033121226,2.0176789071680865,46.92276528297879
