adm0_name,adm1_name,adm2_name,policy,no_gathering_size,policy_description,policy_intensity,optional,date_start,date_end,source,access_date,notes
France,All,All,social_distance,NA,cannot visit dependent elderly or long-term care establishments,1,N,3/11/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,24,18,school_closure_1,NA,"minor, due to a professor testing positive",1,N,3/12/2020,NA,https://www.centre-val-de-loire.ars.sante.fr/coronavirus-point-de-situation-au-12-mars-en-region-centre-val-de-loire,3/14/2020,
France,32,59,school_closure_1,NA,one school with confirmed case closed,1,N,3/12/2020,NA,https://www.hauts-de-france.ars.sante.fr/covid-19-le-lycee-professionnel-paul-langevin-de-waziers-ferme-par-mesure-de-precaution,3/14/2020,
France,75,40,school_closure_1,NA,one school with confirmed case closed,1,N,3/12/2020,NA,https://www.nouvelle-aquitaine.ars.sante.fr/communique-de-presse-coronavirus-point-de-situation-en-nouvelle-aquitaine-du-12032020,3/15/2020,
France,11,75,school_closure_3,NA,three schools closed after students tested positive,1,N,3/12/2020,NA,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid10_20200312.pdf,3/15/2020,
France,75,47,school_closure_3,NA,three schools closed after students tested positive,1,N,3/12/2020,NA,https://www.nouvelle-aquitaine.ars.sante.fr/communique-de-presse-coronavirus-point-de-situation-en-nouvelle-aquitaine-du-12032020,3/15/2020,
France,All,All,no_gathering,100,limit gatherings of more than 100,1,N,3/13/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,All,All,paid_sick_leave,NA,,1,N,3/13/2020,NA,https://www.hauts-de-france.ars.sante.fr/coronavirus-covid-19-le-point-sur-la-delivrance-des-arrets-de-travail,3/14/2020,
France,11,75,social_distance,NA,louvres' closure,1,N,3/13/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,11,78,social_distance,NA,versailles' closure,1,N,3/13/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,44,67,no_gathering,50,"excludes shops, businesses, restaurants, bars, wedding, funerals, public transit",1,N,3/14/2020,NA,https://www.grand-est.ars.sante.fr/system/files/2020-03/CP_Coronavirus_Mesuresrenforc%C3%A9esBas-Rhin_130320.pdf,3/14/2020,
France,11,All,social_distance,NA,Activation of the ARS Business Continuity Plan - teleworking for not priority 1 workers,1,N,3/14/2020,NA,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid10_20200313.pdf,3/15/2020,
France,All,All,business_closure,NA,,1,N,3/15/2020,NA,https://www.gouvernement.fr/info-coronavirus,3/17/2020,
France,All,All,school_closure_all,NA,for minimum of 15 days or as long as necessary,1,N,3/16/2020,NA,https://www.gouvernement.fr/info-coronavirus,3/14/2020,
France,All,All,home_isolation,NA,shelter-in-place,0.3,N,3/17/2020,NA,https://www.gouvernement.fr/info-coronavirus,3/17/2020,
France,76,82,home_isolation,NA,"biking lane, hikes and other public places closure",0.6,N,3/19/2020,NA,https://fr.wikipedia.org/wiki/Confinement_de_2020_en_France,3/25/2020,
France,93,6,home_isolation,NA,strict home isolation between 10pm and 5am,0.6,N,3/21/2020,NA,https://fr.wikipedia.org/wiki/Confinement_de_2020_en_France,3/25/2020,
France,All,All,home_isolation,NA,"Ban of outside market, very limited movement outside of home (no more than 1 km for more than one hour)",1,N,3/23/2020,NA,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041746694&fastPos=1&fastReqId=2083200511&categorieLien=cid&oldAction=rechTexte,3/25/2020,
