date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200514,NV,6499.0,62985.0,,515.0,,126.0,,75.0,,244.0,B,5/14/2020 12:00,60c5110fdf243000ca8f3249205b7f3839f45104,2020-05-14T20:00:00Z,331.0,,69484,69484,69484,32,10.0,0.0,2707.0,105.0,2812.0
20200514,NY,343051.0,955706.0,,6706.0,74433.0,2223.0,,1846.0,,59758.0,A,5/14/2020 00:00,d1e88d9c65cc15cd5d79fa8b1ff1d1c8579f3c5f,2020-05-14T20:00:00Z,22170.0,74433.0,1298757,1298757,1298757,36,157.0,470.0,37460.0,2390.0,39850.0
20200514,OH,26357.0,206995.0,,953.0,4718.0,360.0,1268.0,253.0,,,B,5/14/2020 14:00,8cb4d6353252db8a65a52452a1c1610c590c636d,2020-05-14T20:00:00Z,1534.0,4718.0,233352,233352,233352,39,51.0,100.0,6862.0,636.0,7498.0
20200514,OK,4962.0,107221.0,,217.0,858.0,102.0,,,,3660.0,A+,5/14/2020 00:00,b6161bd93c9bba3b0484642f6224df4d5c837071,2020-05-14T20:00:00Z,284.0,858.0,112183,112183,112183,40,6.0,10.0,2946.0,110.0,3056.0
20200514,OR,3479.0,80571.0,,163.0,685.0,38.0,,17.0,,1406.0,A+,5/14/2020 11:00,e93183106b451a5d42982483bab37114bf785371,2020-05-14T20:00:00Z,137.0,685.0,84050,84050,84050,41,3.0,7.0,0.0,63.0,63.0
20200514,PA,59636.0,251559.0,,1983.0,,,,446.0,,,C,5/14/2020 00:00,2705d062b62ed8fe149e4a5c3fee9b136163108a,2020-05-14T20:00:00Z,4218.0,,311195,311195,311195,42,275.0,0.0,7388.0,938.0,8326.0
20200514,PR,2427.0,,,159.0,,18.0,,5.0,,,B,5/14/2020 06:30,b70f52c40e2003b8f2a97501f0dda4227288fede,2020-05-14T20:00:00Z,117.0,,2427,2427,2427,72,2.0,0.0,0.0,98.0,98.0
20200514,RI,12016.0,89585.0,,271.0,1351.0,65.0,,42.0,,903.0,A+,5/14/2020 12:00,3817955f87e430acd4f8aeeb10b3542de4d07e0c,2020-05-14T20:00:00Z,468.0,1351.0,101601,101601,101601,44,6.0,23.0,3498.0,181.0,3679.0
20200514,SC,8189.0,94346.0,,,1338.0,,,,,4914.0,A,5/14/2020 15:34,db68b8034fbc75e17c75c7a79890ecc538b49bc5,2020-05-14T20:00:00Z,371.0,1338.0,102535,102535,102535,45,16.0,0.0,9133.0,262.0,9395.0
20200514,SD,3792.0,22681.0,,85.0,290.0,,,,,2437.0,B,5/13/2020 18:00,2ebb501ba6f33a29893f01274a8ae7a83f02aa52,2020-05-14T20:00:00Z,43.0,290.0,26473,26473,26473,46,4.0,9.0,569.0,60.0,629.0
