adm0_name,adm1_name,adm1_pop_weight,adm2_name,adm3_name,date,policy,travel_ban_country_list,no_gathering_size,Optional,Notes,source,access_date
USA,CT,1,all,all,3/9/20,travel_ban_local,NA,NA,N,The Governor also issued an immediate freeze on state employee travel on state business outside of Connecticut until further notice.,https://www.nga.org/coronavirus/#states,3/17/20
USA,CT,1,all,all,3/9/20,emergency_declaration,NA,NA,NA,"Governor Lamont declared civil preparedness and public health emergencies. The declarations trigger price gouging laws, and make clear that municipal leaders have emergency powers to mitigate disasters and emergencies",https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Governor-Lamont-Coronavirus-Update-March-10-2020-3PM,3/17/20
USA,CT,1,all,all,3/9/20,no_gathering,NA,250,NA,Prohibits all events in the state with over 250 people;,https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Governor-Lamont-Coronavirus-Update-March-12-2020-3PM,3/17/20
USA,CT,1,all,all,3/14/20,work_from_home,NA,NA,Y,"The Governor directed telework requirements to be eased for certain executive branch state employees, allowing an increased number of employees to work from home. He is also providing executive branch state employees who cannot report to work due to COVID-19 14 days of paid time off.",https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Governor-Lamont-Coronavirus-Update-March-14-2020-5PM,3/17/20
USA,DC,0.93298617,District of Columbia,Washington,3/9/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,DE,1,all,all,3/12/20,emergency_declaration,NA,NA,NA,Governor Carney issued a State of Emergency declaration to prepare for the spread of Coronavirus (COVID-19). The emergency declaration,https://news.delaware.gov/2020/03/12/governor-carney-declares-state-of-emergency-to-prepare-for-spread-of-coronavirus-covid-19/,3/17/20
USA,DE,1,all,all,3/13/20,school_closure,NA,NA,N,The Governor directed a two-week closure of Delaware public schools,https://news.delaware.gov/2020/03/13/governor-carney-directs-two-week-closure-of-delaware-public-schools/,3/17/20
USA,DE,1,all,all,3/16/20,business_closure,NA,NA,N,"limit Delaware restaurants, taverns and bars to take-out and delivery service. The declaration that took effect at 8:00 PM on March 16 also bans public gatherings of 50 or more people, consistent with updated guidance from the Centers for Disease Control and Prevention (CDC), and closes gaming activity at Delaware casinos. The modification also provides Delaware’s Secretary of Labor authorization to develop emergency rules to protect Delaware workers and ensure that unemployment benefits are available for Delawareans whose jobs are affected by the coronavirus outbreak.",https://governor.delaware.gov/state-of-emergency_modified-03162020/,3/17/20
USA,FL,1,all,all,3/1/20,emergency_declaration,NA,NA,NA,public health Emergency,https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-51.pdf,3/14/20
USA,FL,1,all,all,3/9/20,emergency_declaration,NA,NA,NA,State of emergency,https://www.nga.org/coronavirus/#states,3/14/20
USA,FL,1,all,all,3/2/20,travel_ban_local,NA,NA,N,travel ban for university faculty/students,http://www.fldoe.org/core/fileparse.php/19861/urlt/FCSUpdate-31320.pdf,3/14/20
USA,FL,1,all,all,3/9/20,emergency_declaration,NA,NA,NA,state of emergency,https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-52.pdf,3/14/20
USA,FL,1,all,all,3/11/20,no_gathering,NA,1000,N,limit gathering size to 1000,http://www.fldoe.org/core/fileparse.php/19861/urlt/FCSUpdate-31320.pdf,3/14/20
USA,FL,1,all,all,3/11/20,home_isolation,NA,NA,N,self-quarantining for travelers and cruise ship goers,http://www.fldoe.org/core/fileparse.php/19861/urlt/FCSUpdate-31320.pdf,3/14/20
USA,FL,1,all,all,3/13/20,school_closure,NA,NA,N,K-12 school closure - extra week of spring break,http://www.fldoe.org/core/fileparse.php/19861/urlt/Florida-2020-BreakDates.pdf,3/14/20
USA,FL,1,all,all,3/11/20,school_closure,NA,NA,Y,university school closure: state school,http://www.fldoe.org/core/fileparse.php/19861/urlt/SUSCOVID03142020.pdf,3/14/20
USA,FL,1,all,all,3/9/20,emergency_declaration,NA,NA,N,local state of emergency,https://www.hillsboroughcounty.org/residents/public-safety/emergency-management/stay-safe,3/14/20
USA,FL,0.06533392,Hillsborough,all,3/13/20,school_closure,NA,NA,N,cancelled all county govt events and meetings for 30 days,https://www.hillsboroughcounty.org/residents/public-safety/emergency-management/stay-safe,3/14/20
