adm0_name,adm1_name,latitude,longitude,name_alt,area_km2,population,pop_density_km2
TUR,Antalya,37.1141,30.9564,Adalia|Anatolia,32984.403996325294,,
TUR,Ardahan,41.1809,42.8342,,9016.705984522185,,
TUR,Artvin,41.0175,41.8331,Çoruh,13753.728136255213,,
TUR,Aydin,37.7292,27.9573,Aydın,12674.7888386892,,
TUR,Balikesir,39.7193,27.8355,Balıkesir|Balikisri,24485.116303448212,,
TUR,Bartın,41.5857,32.4688,,3754.3857992283406,,
TUR,Batman,37.7343,41.4262,,6614.187140552771,,
TUR,Bayburt,40.2859,40.3056,,6067.964870465475,,
TUR,Bilecik,40.0387,30.2002,,9004.862500309484,,
TUR,Bingöl,39.0743,40.646,Çapakçur,13939.785963703382,,
TUR,Bitlis,38.5155,42.3462,,14651.798238934902,,
TUR,Bolu,40.5854,31.6806,,14834.132617495,,
TUR,Burdur,37.5001,30.1627,,11441.742348322266,,
TUR,Bursa,40.1314,29.0593,Burssa|Brusa|Brussa|Brousse,18596.846679222515,,
TUR,Denizli,37.7539,29.2821,,17729.443811366786,,
TUR,Diyarbakir,38.0261,40.2706,Diyarbakır,24334.58611132444,,
TUR,Düzce,40.8631,31.3231,,4489.840145432613,,
TUR,Edirne,40.9579,26.4697,Adrianople|Adrianopel,9462.385806745657,,
TUR,Elazig,38.5718,39.3702,Elazığ,15229.453222162865,,
TUR,Erzincan,39.6874,39.5121,,19046.295791590353,,
TUR,Erzurum,39.9678,41.403,,40517.67620589268,,
TUR,Eskisehir,39.6297,31.0894,Eskişehir,23057.921599282687,,
TUR,Gaziantep,36.9988,37.2462,,11477.68520254019,,
TUR,Giresun,40.5379,38.6055,Kerasund,11692.08416535847,,
TUR,Gümüshane,40.2812,39.3544,Gümüşhane,10838.671333747701,,
TUR,Hakkari,37.6097,44.0804,,11832.15190810791,,
TUR,Hatay,36.4876,36.2284,,8603.153529347777,,
TUR,Isparta,37.8923,30.818,,14063.95091621425,,
TUR,Istanbul,41.1285,28.8463,İstanbul|Constantinople|Estambul|Istambul|Konstantinopel|Stamboul,8455.278303402838,,
TUR,Izmir,38.2426,27.3977,İzmir|Esmirna|Smirne|Smyrna,21005.535849591506,,
TUR,Iğdir,39.811,44.0317,,6757.977652163859,,
TUR,K. Maras,37.9278,37.0013,Kahramanmaraş,23147.81796563477,,
TUR,Karabük,41.2347,32.5067,,6980.564156163784,,
TUR,Karaman,37.2262,33.3026,,14087.420533713228,,
TUR,Kars,40.3671,43.074,,18099.196779110312,,
TUR,Kastamonu,41.5114,33.6356,,23330.294835697347,,
TUR,Kayseri,38.7168,35.9256,,28685.025030646306,,
TUR,Kilis,36.8329,37.0035,,2103.5393090948833,,
TUR,Kinkkale,39.9011,33.778,Kırıkkale,7892.95851217558,,
TUR,Kirklareli,41.6201,27.4916,Kırklareli,12315.07319035771,,
TUR,Kirsehir,39.3548,34.1308,Kırşehir,10620.264502075739,,
TUR,Kocaeli,40.9008,29.9396,İzmit,6956.023760123695,,
TUR,Konya,38.04,32.469,Konieh|Kunja,64766.949734291215,,
TUR,Kütahya,39.3471,29.5498,Kütanya,20063.83667532562,,
TUR,Malatya,38.5144,38.1872,,19272.025339844808,,
TUR,Manisa,38.7115,28.1324,,21212.853503308692,,
TUR,Mardin,37.4282,40.9525,,15942.827795235302,,
TUR,Mersin,36.6614,33.8268,İçel,23728.88170571162,,
TUR,Mugla,37.0501,28.6482,Muğla,20120.877424705614,,
TUR,Mus,38.9124,41.9034,Muş,12807.960739024184,,
TUR,Nevsehir,38.7415,34.6408,Nevşehir,8698.445491337094,,
TUR,Nigde,37.8966,34.7093,Niğde,10671.27423137267,,
TUR,Ordu,40.8376,37.4229,,10207.80849067382,,
TUR,Osmaniye,37.1737,36.3011,,4585.351936660072,,
TUR,Rize,40.9466,40.8691,,6601.073448453209,,
TUR,Sakarya,40.6596,30.4439,,7391.188730850295,,
TUR,Samsun,41.2761,36.0198,,16683.899692614683,,
TUR,Sanliurfa,37.3189,39.0508,Şanlıurfa|Urfa,31386.777662097687,,
TUR,Siirt,37.9159,42.2212,,10362.4740571271,,
TUR,Sinop,41.5894,34.8226,,11108.496639062201,,
TUR,Sirnak,37.4047,42.5455,Şırnak,10150.18349324112,,
TUR,Sivas,39.429,37.2907,,47215.49629307343,,
TUR,Tekirdag,41.0824,27.4547,Tekirdağ,12278.487408842782,,
TUR,Tokat,40.4442,36.5724,,16175.337289799058,,
TUR,Trabzon,40.7988,39.8034,Trapezunt|Trebizond|Trebizonda|Trébizonde,8711.210525383778,,
TUR,Tunceli,39.1519,39.6357,,13122.405110862157,,
TUR,Usak,38.4942,29.3636,Uşak,7250.662413259991,,
TUR,Van,38.5212,43.5684,,31732.214747621972,,
TUR,Yalova,40.6154,29.2036,,1189.1078642234597,,
TUR,Yozgat,39.5476,35.1328,,23168.97790537568,,
TUR,Zinguldak,41.2481,31.8206,Zonguldak,5762.911319604912,,
TUR,Çanakkale,40.0553,26.8233,,16313.036056255933,,
TUR,Çankiri,40.7087,33.2142,Çankırı|Changra,13320.384314069057,,
TUR,Çorum,40.6149,34.711,,21629.748520201952,,
TZA,Arusha,-3.02634,36.0865,,38721.302029008904,,
TZA,Dar-Es-Salaam,-6.89289,39.2857,Dar es Salaam,1662.8264235487693,,
TZA,Dodoma,-5.73233,35.9608,,42760.24808247413,,
TZA,Geita,-3.09999,31.6968,,23822.02726117176,,
TZA,Iringa,-7.83931,35.5453,,39323.405920337216,,
TZA,Kagera,-1.77904,31.2578,,29996.111425437022,,
TZA,Kaskazini-Pemba,-5.05108,39.777,Pemba North,457.04758576171287,,
TZA,Kaskazini-Unguja,-5.84474,39.2294,Zanzibar North,459.3928132364137,,
TZA,Katavi,-6.4277,31.3404,,48220.476175206,,
TZA,Kigoma,-4.41836,30.4057,,47818.08345697611,,
TZA,Kilimanjaro,-4.01115,37.6511,,13122.366795185455,,
TZA,Kusini-Pemba,-5.34982,39.7495,Pemba South,473.91598141999276,,
TZA,Lindi,-9.44338,38.4234,,68259.03320872366,,
TZA,Manyara,-4.88783,36.4591,,45440.34151668639,,
TZA,Mara,-1.58906,34.0227,,28578.331540949013,,
TZA,Mbeya,-8.29695,33.5281,,59783.681112668346,,
TZA,Morogoro,-8.69673,36.922,,70109.34012069262,,
TZA,Mtwara,-10.814,39.2212,,18391.786582150307,,
TZA,Mwanza,-2.67284,32.6685,,26850.881878976157,,
TZA,Njombe,-9.39902,34.8871,,22521.34992349078,,
TZA,Pwani,-7.86726,39.7491,,32149.73081132522,,
TZA,Rukwa,-7.8958,31.3337,,28775.2388779066,,
TZA,Ruvuma,-10.7136,36.3365,,66269.65313708448,,
TZA,Shinyanga,-3.65098,33.2015,,20208.907055718537,,
TZA,Simiyu,-2.96688,34.2172,,24594.87071865032,,
TZA,Singida,-5.59564,34.4149,,49445.549911120026,,
TZA,Tabora,-6.82145,32.6595,,77331.22120718379,,
TZA,Tanga,-5.18525,38.1412,,28210.244329962163,,
TZA,Zanzibar South and Central,-6.2741,39.4241,Kusini Unguja|Zanzibar Central/South,883.4744217603072,,
TZA,Zanzibar West,-6.1537,39.2425,Mjini-Magharibi|Zanzibar Urban/West,250.93194638063073,,
UGA,Abim,2.70787,33.7723,,2219.8670673852557,,
UGA,Adjumani,3.21788,31.7282,,3080.293557231822,,
UGA,Agago,2.89176,33.3941,,3106.272514686615,,
UGA,Alebtong,2.27138,33.2107,,1798.9803969642749,,
UGA,Amolatar,1.57677,32.6461,,1636.4415946222362,,
UGA,Amudat,1.67258,34.883,,1532.0423672977963,,
UGA,Amuria,2.141,33.6359,,2639.2433600867125,,
UGA,Amuru,2.9511,32.0347,,3756.280085152259,,
UGA,Apac,1.89554,32.5241,,3308.974586806561,,
UGA,Arua,2.7887,31.1339,Arua,4244.541460335159,,
UGA,Budaka,1.09635,33.9867,,517.7756883379368,,
UGA,Bududa,1.03321,34.3979,,203.24579825257288,,
UGA,Bugiri,0.536737,33.7627,,1024.1865453516539,,
UGA,Buhweju,-0.351995,30.3282,,835.3943871372843,,
UGA,Buikwe,0.187461,33.0039,,2577.8908890078037,,
UGA,Bukedea,1.34244,34.1286,,979.6721244539648,,
UGA,Bukomansimbi,-0.114634,31.6487,,518.0053422126741,,
UGA,Bukwa,1.26283,34.6781,,426.6731877801504,,
UGA,Bulambuli,1.29497,34.2883,,672.4526968782324,,
UGA,Buliisa,1.95839,31.4315,,2004.8270804467545,,
UGA,Bundibugyo,0.738092,30.0508,,1153.9564488023352,,
UGA,Bushenyi,-0.471119,30.1245,,811.1044970173207,,
UGA,Busia,0.412014,34.0041,,728.0969743558172,,
UGA,Butaleja,0.881707,33.9295,,637.0666504060973,,
UGA,Butambala,0.135674,32.0026,,464.8991760918961,,
UGA,Buvuma,0.0968329,33.2585,,7660.05539988035,,
UGA,Buyende,1.24749,33.1662,,2023.408102004544,,
UGA,Dokolo,1.88125,33.0778,,1161.7875651990423,,
UGA,Gomba,0.196093,31.6617,,1537.7663670192655,,
UGA,Gulu,2.87081,32.463,,3346.1618500408617,,
UGA,Hoima,1.47115,31.0319,,5783.233894168472,,
UGA,Ibanda,-0.0750772,30.4693,,1156.3231104995532,,
UGA,Iganga,0.699847,33.5689,,688.2786600109229,,
UGA,Isingiro,-0.848191,30.8706,,2753.3255791886654,,
UGA,Jinja,0.492867,33.3074,,1405.850564937612,,
UGA,Kaabong,3.70606,34.0364,,7176.750034342455,,
UGA,Kabale,-1.23122,30.0088,,1652.1920605449832,,
UGA,Kabarole,0.596926,30.2731,,2278.6258622940245,,
UGA,Kaberamaido,1.66885,33.2,,1830.381108813138,,
UGA,Kalangala,-0.355954,32.2457,,8858.465023255909,,
UGA,Kaliro,1.05681,33.4858,,862.0454408818705,,
UGA,Kalungu,-0.15779,31.8386,,773.9824795799899,,
UGA,Kampala,0.360019,32.6048,,308.81143789474953,,
UGA,Kamuli,0.888959,33.1226,,1432.564364380657,,
UGA,Kamwenge,0.212247,30.5053,,2488.2972125885553,,
UGA,Kanungu,-0.835254,29.7256,,1394.5524153196538,,
UGA,Kapchorwa,1.35008,34.4652,,511.42501581578193,,
UGA,Kasese,0.138279,29.9844,,2849.987915524677,,
UGA,Katakwi,1.93889,34.0087,,2384.0874865090746,,
UGA,Kayunga,0.984795,32.8933,,1689.7163638731279,,
UGA,Kibale,0.903428,31.0242,Kibaale,4268.872358656125,,
UGA,Kiboga,0.841246,31.9587,,1574.2871447471055,,
UGA,Kibuku,1.03603,33.7704,,387.262445955924,,
UGA,Kiryandongo,2.02863,32.0563,,3561.9280631649335,,
UGA,Kisoro,-1.21098,29.6865,,839.2842671233072,,
UGA,Kitgum,3.36108,33.3078,,4270.723784699892,,
UGA,Koboko,3.51005,30.9725,,640.5354220803712,,
UGA,Kole,2.28756,32.6929,,732.9387824270706,,
UGA,Kotido,2.9427,33.9681,,3534.5400662358406,,
UGA,Kumi,1.44461,33.9137,,1141.6069567305285,,
UGA,Kween,1.45896,34.599,,743.8935298771913,,
UGA,Kyankwanzi,1.14122,31.6487,,2512.4636909954947,,
UGA,Kyegegwa,0.463663,31.023,,1348.2590241515022,,
UGA,Kyenjojo,0.599223,30.6742,,2760.234545768923,,
UGA,Lamwo,3.56903,32.7269,,5753.677995874377,,
